File,Release Number,LOC,LOC touched,Number of Revisions,Fix Count,Authors,LOC added,Max LOC added,Average LOC added,Churn,Max Churn,Average Churn,Change Set Size,Max Change Set Size,Average Change Set Size,Release Length,Weighted Release Length,Actual
crunch/src/test/java/org/apache/crunch/types/TupleFactoryTest.java,1,69,0,0,0,0,0,0,0,0,0,0,0,0,0,752,10.898551,TRUE
crunch/src/test/java/org/apache/crunch/types/avro/AvroGroupedTableTypeTest.java,1,58,6,1,1,1,4,4,4,2,2,2,38,38,2,752,12.965517,TRUE
crunch/src/main/java/org/apache/crunch/impl/mr/run/CrunchTaskContext.java,1,85,0,0,0,0,0,0,0,0,0,0,0,0,0,752,8.847059,TRUE
crunch/src/main/java/org/apache/crunch/io/text/TextFileTarget.java,1,53,35,2,1,2,31,24,15.5,27,21,13.5,26,21,13.5,752,14.188679,TRUE
crunch/src/main/java/org/apache/crunch/io/impl/FileTargetImpl.java,1,100,16,2,1,2,13,10,6.5,10,9,5,26,21,5,752,7.52,TRUE
crunch/src/main/java/org/apache/crunch/lib/PTables.java,1,95,23,1,1,1,10,10,10,-3,0,-3,38,38,-3,752,7.915789,TRUE
crunch/src/test/java/org/apache/crunch/test/CountersTest.java,1,71,9,1,1,1,4,4,4,-1,0,-1,18,18,-1,752,10.591549,TRUE
crunch/src/main/java/org/apache/crunch/lib/Sort.java,1,525,0,0,0,0,0,0,0,0,0,0,0,0,0,752,1.432381,TRUE
crunch/src/test/java/org/apache/crunch/types/writable/WritableTableTypeTest.java,1,45,12,4,3,3,7,4,1.75,2,2,0.5,101,38,0.5,752,16.711111,TRUE
crunch/src/main/java/org/apache/crunch/types/avro/Avros.java,1,707,47,3,2,3,7,6,3.5,-67,1,-22.333333,34,18,-22.333333,752,1.063649,TRUE
crunch/src/test/java/org/apache/crunch/types/avro/AvroTypeTest.java,1,262,15,1,1,1,15,15,15,15,15,15,38,38,15,752,2.870229,TRUE
crunch/src/main/java/org/apache/crunch/impl/mr/emit/MultipleOutputEmitter.java,1,55,0,0,0,0,0,0,0,0,0,0,0,0,0,752,13.672727,TRUE
crunch-scrunch/src/main/java/org/apache/crunch/scrunch/ScalaReflectDataFactory.java,1,41,0,0,0,0,0,0,0,0,0,0,0,0,0,752,18.341463,TRUE
crunch/src/main/java/org/apache/crunch/impl/mem/collect/MemCollection.java,1,204,76,3,1,2,73,58,24.333333,70,57,23.333333,41,18,23.333333,752,3.686275,TRUE
crunch/src/main/java/org/apache/crunch/impl/mr/collect/PGroupedTableImpl.java,1,116,9,1,1,1,8,8,8,7,7,7,3,3,7,752,6.482759,TRUE
crunch/src/main/java/org/apache/crunch/lib/Cartesian.java,1,225,117,3,2,3,54,24,18,-9,9,-3,50,24,-3,752,3.342222,TRUE
crunch-test/src/main/java/org/apache/crunch/test/CrunchTestSupport.java,1,30,72,2,1,2,67,66,33.5,62,62,31,19,18,31,752,25.066667,TRUE
crunch/src/test/java/org/apache/crunch/lib/join/JoinFnTestBase.java,1,81,11,2,2,2,6,4,3,1,2,0.5,56,38,0.5,752,9.283951,TRUE
crunch/src/main/java/org/apache/crunch/types/avro/AvroDeepCopier.java,1,204,50,1,1,1,25,25,25,0,0,0,38,38,0,752,3.686275,TRUE
crunch/src/main/java/org/apache/crunch/impl/mr/run/RuntimeParameters.java,1,37,0,0,0,0,0,0,0,0,0,0,0,0,0,752,20.324324,TRUE
crunch-scrunch/src/main/java/org/apache/crunch/scrunch/ScalaSafeReflectDatumWriter.java,1,68,0,0,0,0,0,0,0,0,0,0,0,0,0,752,11.058824,TRUE
crunch-scrunch/src/main/java/org/apache/crunch/scrunch/ScalaSafeReflectDatumReader.java,1,123,0,0,0,0,0,0,0,0,0,0,0,0,0,752,6.113821,TRUE
