File,Release Number,LOC,LOC touched,Number of Revisions,Fix Count,Authors,LOC added,Max LOC added,Average LOC added,Churn,Max Churn,Average Churn,Change Set Size,Max Change Set Size,Average Change Set Size,Release Length,Weighted Release Length,Actual
server/openejb-cxf-rs/src/main/java/org/apache/openejb/server/cxf/rs/CxfRsHttpListener.java,1,486,114,7,2,1,70,27,10,26,27,3.714286,46,15,3.714286,763,1.569959,TRUE
container/openejb-core/src/main/java/org/apache/openejb/core/mdb/EndpointFactory.java,1,108,48,4,2,2,28,14,7,8,4,2,5,2,2,763,7.064815,TRUE
server/openejb-cxf-rs/src/test/java/org/apache/openejb/server/cxf/rs/SimpleApplicationTest.java,1,96,4,1,1,1,3,3,3,2,2,2,15,15,2,763,7.947917,TRUE
tomee/tomee-embedded/src/main/java/org/apache/tomee/embedded/Container.java,1,454,75,4,2,1,56,33,14,37,21,9.25,10,4,9.25,763,1.680617,TRUE
tomee/tomee-catalina/src/main/java/org/apache/tomee/catalina/LazyStopWebappLoader.java,1,77,40,2,1,1,17,10,8.5,-6,5,-3,13,9,-3,763,9.909091,TRUE
server/openejb-cxf-rs/src/main/java/org/apache/openejb/server/cxf/rs/OpenEJBEJBInvoker.java,1,87,69,2,1,1,49,36,24.5,29,21,14.5,16,15,14.5,763,8.770115,TRUE
arquillian/arquillian-tomee-common/src/main/java/org/apache/openejb/arquillian/common/TestClassDiscoverer.java,1,107,2,1,1,1,1,1,1,0,0,0,3,3,0,763,7.130841,TRUE
examples/telephone-stateful/src/test/java/org/superbiz/telephone/TelephoneTest.java,1,109,12,2,1,1,6,3,3,0,0,0,17,11,0,763,7,TRUE
container/openejb-core/src/main/java/org/apache/openejb/config/AnnotationDeployer.java,1,5317,134,11,1,1,95,23,10.555556,43,22,3.909091,36,10,3.909091,763,0.143502,TRUE
container/openejb-core/src/main/java/org/apache/openejb/persistence/JtaEntityManager.java,1,621,73,1,1,1,41,41,41,9,9,9,6,6,9,763,1.228663,TRUE
server/openejb-cxf-rs/src/main/java/org/apache/openejb/server/cxf/rs/OpenEJBPerRequestPojoResourceProvider.java,1,273,101,4,1,1,72,62,24,40,39,10,26,15,10,763,2.794872,TRUE
container/openejb-core/src/main/java/org/apache/openejb/util/EventHelper.java,1,47,37,2,1,2,32,30,16,27,26,13.5,12,7,13.5,763,16.234043,TRUE
server/openejb-cxf-rs/src/main/java/org/apache/openejb/server/cxf/rs/AutoJAXRSInvoker.java,1,57,13,1,1,1,12,12,12,11,11,11,15,15,11,763,13.385965,TRUE
tomee/tomee-jdbc/src/main/java/org/apache/tomee/jdbc/TomEEDataSourceCreator.java,1,338,6,1,1,1,3,3,3,0,0,0,1,1,0,763,2.257396,TRUE
server/openejb-cxf-rs/src/main/java/org/apache/openejb/server/cxf/rs/Logs.java,1,186,7,1,1,1,6,6,6,5,5,5,1,1,5,763,4.102151,TRUE
server/openejb-cxf-rs/src/test/java/org/apache/openejb/server/cxf/rs/JAXRSWithInterfaceTest.java,1,83,2,1,1,1,1,1,1,0,0,0,15,15,0,763,9.192771,TRUE
arquillian/arquillian-tomee-common/src/main/java/org/apache/openejb/arquillian/common/TomEEContainer.java,1,462,96,3,1,1,34,30,11.333333,-28,28,-9.333333,21,11,-9.333333,763,1.651515,TRUE
tomee/tomee-catalina/src/main/java/org/apache/tomee/catalina/TomcatSecurityService.java,1,278,66,2,2,1,45,23,22.5,24,22,12,6,5,12,763,2.744604,TRUE
container/openejb-core/src/main/java/org/apache/openejb/config/ConfigurationFactory.java,1,1511,76,7,1,2,61,20,8.714286,46,16,6.571429,20,7,6.571429,763,0.504964,TRUE
container/openejb-core/src/main/java/org/apache/openejb/testing/ApplicationComposers.java,1,714,45,1,1,1,42,42,42,39,39,39,15,15,39,763,1.068627,TRUE
tomee/tomee-catalina/src/main/java/org/apache/tomee/catalina/OpenEJBContextConfig.java,1,415,162,6,1,1,123,41,20.5,84,41,14,18,10,14,763,1.838554,TRUE
container/openejb-core/src/main/java/org/apache/openejb/persistence/JtaTypedQuery.java,1,140,12,1,1,1,9,9,9,6,6,6,6,6,6,763,5.45,TRUE
server/openejb-cxf-rs/src/test/java/org/apache/openejb/server/cxf/rs/JAXRSRoutingTest.java,1,79,2,1,1,1,1,1,1,0,0,0,15,15,0,763,9.658228,TRUE
container/openejb-jee/src/main/java/org/apache/openejb/jee/JaxbJavaee.java,1,676,16,2,1,1,8,4,4,0,0,0,17,11,0,763,1.128698,TRUE
tomee/tomee-catalina/src/main/java/org/apache/tomee/catalina/TomcatWebAppBuilder.java,1,2189,192,15,3,1,69,26,4.928571,-59,25,-3.933333,68,11,-3.933333,763,0.348561,TRUE
