@relation TEZ_train_noise.arff

@attribute LOC numeric
@attribute LOC_touched numeric
@attribute Number_of_Revisions numeric
@attribute Fix_Count numeric
@attribute Authors numeric
@attribute LOC_added numeric
@attribute Max_LOC_added numeric
@attribute Average_LOC_added numeric
@attribute Churn numeric
@attribute Max_Churn numeric
@attribute Average_Churn numeric
@attribute Change_Set_Size numeric
@attribute Max_Change_Set_Size numeric
@attribute Average_Change_Set_Size numeric
@attribute Release_Length numeric
@attribute Weighted_Release_Length numeric
@attribute Actual {TRUE,FALSE}

@data
1469,430,18,4,3,309,90,19.3125,174,79,9.666667,238,48,9.666667,67283,45.801906,TRUE
458,221,10,4,4,187,89,20.777778,149,78,14.9,92,23,14.9,67283,146.906114,TRUE
236,21,1,1,1,11,11,11.0,1,1,1.0,2,2,1.0,380,1.610169,TRUE
158,3,1,1,1,2,2,2.0,1,1,1.0,13,13,1.0,380,2.405063,TRUE
449,2,1,1,1,1,1,1.0,0,0,0.0,2,2,0.0,380,0.846325,TRUE
226,5,1,1,1,3,3,3.0,1,1,1.0,13,13,1.0,380,1.681416,TRUE
105,4,1,1,1,2,2,2.0,0,0,0.0,13,13,0.0,380,3.6190480000000003,TRUE
192,8,1,1,1,4,4,4.0,0,0,0.0,13,13,0.0,380,1.979167,TRUE
104,4,1,1,1,2,2,2.0,0,0,0.0,13,13,0.0,380,3.6538459999999997,TRUE
686,10,1,1,1,7,7,7.0,4,4,4.0,13,13,4.0,380,0.553936,TRUE
244,3,1,1,1,2,2,2.0,1,1,1.0,13,13,1.0,380,1.557377,TRUE
165,15,1,1,1,13,13,13.0,11,11,11.0,13,13,11.0,380,2.30303,TRUE
246,10,1,1,1,6,6,6.0,2,2,2.0,13,13,2.0,380,1.544715,TRUE
1508,4,1,1,1,3,3,3.0,2,2,2.0,13,13,2.0,380,0.25198899999999996,TRUE
226,4,1,1,1,2,2,2.0,0,0,0.0,13,13,0.0,380,1.681416,TRUE
112,2,1,1,1,1,1,1.0,0,0,0.0,2,2,0.0,380,3.392857,TRUE
93,5,1,1,1,3,3,3.0,1,1,1.0,13,13,1.0,380,4.086022,TRUE
937,2,1,1,1,1,1,1.0,0,0,0.0,13,13,0.0,380,0.40555,TRUE
50,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,67283,1345.66,FALSE
175,71,3,0,2,47,29,15.666667000000002,23,12,7.6666669999999995,29,13,7.6666669999999995,67283,384.474286,FALSE
33,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,67283,2038.878788,FALSE
826,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,67283,81.456416,FALSE
94,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,67283,715.776596,FALSE
251,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,67283,268.059761,FALSE
57,11,2,0,1,5,5,5.0,-6,4,-3.0,22,18,-3.0,67283,1180.403509,FALSE
98,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,67283,686.561224,FALSE
38,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,67283,1770.605263,FALSE
30,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,67283,2242.7666670000003,FALSE
40,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,67283,1682.075,FALSE
114,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,67283,590.201754,FALSE
24,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,67283,2803.458333,FALSE
386,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,67283,174.30829,FALSE
57,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,67283,1180.403509,FALSE
102,7,1,1,1,7,7,7.0,7,7,7.0,13,13,7.0,67283,659.637255,FALSE
82,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,67283,820.52439,FALSE
30,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,67283,2242.7666670000003,FALSE
105,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,67283,640.790476,FALSE
800,167,4,1,2,120,79,40.0,72,50,18.0,83,32,18.0,67283,84.10375,FALSE
38,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,67283,1770.605263,FALSE
85,183,2,0,1,167,107,83.5,151,95,75.5,23,13,75.5,67283,791.564706,FALSE
131,69,3,1,2,56,33,18.666667,43,26,14.333332999999998,113,48,14.333332999999998,67283,513.610687,FALSE
240,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,67283,280.345833,FALSE
572,2,1,0,1,1,1,1.0,0,0,0.0,18,18,0.0,67283,117.627622,FALSE
202,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,67283,333.084158,FALSE
28,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,67283,2402.964286,FALSE
184,133,1,0,1,84,84,84.0,35,35,35.0,2,2,35.0,67283,365.668478,FALSE
95,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,67283,708.242105,FALSE
477,171,5,1,3,168,100,33.6,165,100,33.0,61,22,33.0,67283,141.054507,FALSE
655,44,4,2,2,10,4,3.333333,-58,4,-14.5,33,16,-14.5,67283,102.722137,FALSE
48,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,67283,1401.729167,FALSE
83,10,2,1,1,7,7,7.0,3,5,1.5,26,17,1.5,67283,810.638554,FALSE
72,25,1,0,1,24,24,24.0,23,23,23.0,13,13,23.0,67283,934.4861109999999,FALSE
152,11,2,0,1,11,6,5.5,11,6,5.5,23,13,5.5,67283,442.651316,FALSE
61,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,67283,1103.0,FALSE
34,42,1,0,1,42,42,42.0,42,42,42.0,13,13,42.0,67283,1978.9117649999998,FALSE
297,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,67283,226.54208799999998,FALSE
101,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,67283,666.168317,FALSE
45,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,67283,1495.177778,FALSE
67,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,67283,1004.223881,FALSE
53,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,67283,1269.490566,FALSE
33,7,1,1,1,7,7,7.0,7,7,7.0,16,16,7.0,67283,2038.878788,FALSE
108,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,67283,622.9907410000001,FALSE
35,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,67283,1922.3714289999998,FALSE
30,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,67283,2242.7666670000003,FALSE
45,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,67283,1495.177778,FALSE
128,7,1,1,1,7,7,7.0,7,7,7.0,26,26,7.0,67283,525.6484379999999,FALSE
92,14,1,0,1,7,7,7.0,0,0,0.0,33,33,0.0,67283,731.336957,FALSE
41,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,67283,1641.04878,FALSE
29,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,67283,2320.103448,FALSE
100,11,1,0,1,11,11,11.0,11,11,11.0,5,5,11.0,67283,672.83,FALSE
519,80,7,1,2,57,21,8.142857000000001,34,19,4.857143,95,22,4.857143,67283,129.639692,FALSE
151,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,67283,445.58278099999995,FALSE
1243,551,8,2,3,444,212,55.5,337,169,42.125,146,48,42.125,67283,54.129525,FALSE
36,11,1,1,1,11,11,11.0,11,11,11.0,11,11,11.0,67283,1868.9722219999999,FALSE
300,4,1,0,1,2,2,2.0,0,0,0.0,33,33,0.0,67283,224.276667,FALSE
37,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,67283,1818.459459,FALSE
242,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,67283,278.02892599999996,FALSE
35,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,67283,1922.3714289999998,FALSE
215,77,6,2,1,52,27,8.666667,27,26,4.5,90,26,4.5,67283,312.944186,FALSE
129,63,3,1,2,52,31,17.333333,41,25,13.666667000000002,113,48,13.666667000000002,67283,521.573643,FALSE
65,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,67283,1035.123077,FALSE
298,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,67283,225.781879,FALSE
65,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,67283,1035.123077,FALSE
36,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,67283,1868.9722219999999,FALSE
81,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,67283,830.654321,FALSE
66,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,67283,1019.439394,FALSE
27,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,67283,2491.962963,FALSE
79,5,1,0,1,3,3,3.0,1,1,1.0,33,33,1.0,67283,851.683544,FALSE
50,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,67283,1345.66,FALSE
