File,Release Number,LOC,LOC touched,Number of Revisions,Fix Count,Authors,LOC added,Max LOC added,Average LOC added,Churn,Max Churn,Average Churn,Change Set Size,Max Change Set Size,Average Change Set Size,Release Length,Weighted Release Length,Actual
bookkeeper-server/src/main/java/org/apache/bookkeeper/tools/BookKeeperTools.java,1,92,4,1,0,1,2,2,2,0,0,0,25,25,0,10167,110.51087,TRUE
hedwig-client/src/test/java/org/apache/hedwig/util/TestFileUtils.java,1,41,0,0,0,0,0,0,0,0,0,0,0,0,0,10167,247.97561,TRUE
hedwig-server/src/test/java/org/apache/hedwig/server/persistence/TestReadAheadCacheBlackBox.java,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,10167,188.277778,TRUE
bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/PerChannelBookieClient.java,1,603,155,10,7,3,123,47,13.666667,90,43,9,71,25,9,10167,16.860697,TRUE
hedwig-server/src/test/java/org/apache/hedwig/server/persistence/TestLocalDBPersistenceManagerBlackBox.java,1,53,0,0,0,0,0,0,0,0,0,0,0,0,0,10167,191.830189,TRUE
hedwig-server/src/main/java/org/apache/hedwig/zookeeper/SafeAsyncCallback.java,1,35,2,1,1,1,1,1,1,0,0,0,34,34,0,10167,290.485714,TRUE
bookkeeper-server/src/test/java/org/apache/bookkeeper/test/BookieFailureTest.java,1,305,99,2,2,2,76,76,76,30,76,15,28,17,15,10167,33.334426,TRUE
hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/BenchmarkUtils.java,1,177,17,1,1,1,15,15,15,13,13,13,34,34,13,10167,57.440678,TRUE
bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerOpenOp.java,1,169,8,1,1,1,5,5,5,2,2,2,14,14,2,10167,60.159763,TRUE
bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerMetadata.java,1,248,74,5,3,3,69,44,13.8,64,44,12.8,46,25,12.8,10167,40.995968,TRUE
bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/FlatLedgerManager.java,1,193,42,2,2,2,12,7,6,-18,3,-9,11,6,-9,10167,52.678756,TRUE
hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyStopDeliveryHandler.java,1,74,2,1,1,1,1,1,1,0,0,0,9,9,0,10167,137.391892,TRUE
hedwig-server/src/test/java/org/apache/hedwig/server/handlers/TestBaseHandler.java,1,116,0,0,0,0,0,0,0,0,0,0,0,0,0,10167,87.646552,TRUE
bookkeeper-server/src/main/java/org/apache/bookkeeper/client/DistributionSchedule.java,1,61,22,1,1,1,13,13,13,4,4,4,11,11,4,10167,166.672131,TRUE
hedwig-client/src/main/java/org/apache/hedwig/util/PathUtils.java,1,56,6,1,1,1,3,3,3,0,0,0,34,34,0,10167,181.553571,TRUE
hedwig-client/src/main/java/org/apache/hedwig/client/handlers/SubscribeReconnectCallback.java,1,114,12,1,1,1,6,6,6,0,0,0,9,9,0,10167,89.184211,TRUE
bookkeeper-server/src/test/java/org/apache/bookkeeper/test/ConditionalSetTest.java,1,118,0,0,0,0,0,0,0,0,0,0,0,0,0,10167,86.161017,TRUE
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java,1,1026,1232,20,11,3,485,105,24.25,-262,53,-13.1,162,25,-13.1,10167,9.909357,TRUE
