File,Release Number,LOC,LOC touched,Number of Revisions,Fix Count,Authors,LOC added,Max LOC added,Average LOC added,Churn,Max Churn,Average Churn,Change Set Size,Max Change Set Size,Average Change Set Size,Release Length,Weighted Release Length,Actual
tajo-core/tajo-core-storage/src/main/java/org/apache/tajo/storage/AbstractStorageManager.java,1,650,77,1,0,1,48,48,48,19,19,19,116,116,19,177544,273.144615,TRUE
tajo-core/tajo-core-backend/src/test/java/org/apache/tajo/engine/planner/physical/TestRightOuterMergeJoinExec.java,1,504,43,1,0,1,20,20,20,-3,0,-3,116,116,-3,177544,352.269841,TRUE
tajo-core/tajo-core-backend/src/test/java/org/apache/tajo/engine/planner/physical/TestMergeJoinExec.java,1,189,19,1,0,1,9,9,9,-1,0,-1,116,116,-1,177544,939.386243,TRUE
tajo-algebra/src/main/java/org/apache/tajo/algebra/CountRowsFunctionExpr.java,1,21,0,0,0,0,0,0,0,0,0,0,0,0,0,177544,8454.47619,TRUE
tajo-common/src/main/java/org/apache/tajo/TajoConstants.java,1,31,0,0,0,0,0,0,0,0,0,0,0,0,0,177544,5727.225806,TRUE
tajo-core/tajo-core-backend/src/main/java/org/apache/tajo/engine/planner/ExprsVerifier.java,1,164,0,0,0,0,0,0,0,0,0,0,0,0,0,177544,1082.585366,TRUE
tajo-core/tajo-core-backend/src/main/java/org/apache/tajo/worker/TajoWorkerClientService.java,1,208,0,0,0,0,0,0,0,0,0,0,0,0,0,177544,853.576923,TRUE
tajo-core/tajo-core-backend/src/main/java/org/apache/tajo/client/TajoClient.java,1,381,20,1,0,1,4,4,4,-12,0,-12,116,116,-12,177544,465.994751,TRUE
tajo-core/tajo-core-storage/src/main/java/org/apache/tajo/storage/trevni/TrevniScanner.java,1,193,5,1,0,1,3,3,3,1,1,1,116,116,1,177544,919.917098,TRUE
tajo-core/tajo-core-backend/src/main/java/org/apache/tajo/engine/planner/physical/BNLJoinExec.java,1,204,0,0,0,0,0,0,0,0,0,0,0,0,0,177544,870.313725,TRUE
tajo-core/tajo-core-backend/src/test/java/org/apache/tajo/engine/planner/physical/TestLeftOuterHashJoinExec.java,1,449,34,1,0,1,16,16,16,-2,0,-2,116,116,-2,177544,395.420935,TRUE
tajo-algebra/src/main/java/org/apache/tajo/algebra/ScalarSubQuery.java,1,42,0,0,0,0,0,0,0,0,0,0,0,0,0,177544,4227.238095,TRUE
tajo-core/tajo-core-backend/src/test/java/org/apache/tajo/engine/planner/physical/TestHashSemiJoinExec.java,1,210,18,1,0,1,9,9,9,0,0,0,116,116,0,177544,845.447619,TRUE
tajo-core/tajo-core-backend/src/test/java/org/apache/tajo/BackendTestingUtil.java,1,80,5,1,0,1,2,2,2,-1,0,-1,116,116,-1,177544,2219.3,TRUE
tajo-core/tajo-core-backend/src/test/java/org/apache/tajo/engine/planner/TestLogicalOptimizer.java,1,247,8,1,0,1,4,4,4,0,0,0,116,116,0,177544,718.801619,TRUE
tajo-catalog/tajo-catalog-common/src/main/java/org/apache/tajo/catalog/CatalogUtil.java,1,201,60,1,0,1,9,9,9,-42,0,-42,116,116,-42,177544,883.303483,TRUE
tajo-common/src/test/java/org/apache/tajo/datum/TestBoolDatum.java,1,81,0,0,0,0,0,0,0,0,0,0,0,0,0,177544,2191.901235,TRUE
tajo-core/tajo-core-backend/src/main/java/org/apache/tajo/engine/planner/physical/NLLeftOuterJoinExec.java,1,129,0,0,0,0,0,0,0,0,0,0,0,0,0,177544,1376.310078,TRUE
tajo-catalog/tajo-catalog-common/src/test/java/org/apache/tajo/catalog/TestColumn.java,1,112,0,0,0,0,0,0,0,0,0,0,0,0,0,177544,1585.214286,TRUE
tajo-core/tajo-core-backend/src/main/java/org/apache/tajo/engine/planner/logical/join/JoinGraph.java,1,64,0,0,0,0,0,0,0,0,0,0,0,0,0,177544,2774.125,TRUE
tajo-core/tajo-core-backend/src/main/java/org/apache/tajo/master/TajoMaster.java,1,609,0,0,0,0,0,0,0,0,0,0,0,0,0,177544,291.533662,TRUE
tajo-core/tajo-core-backend/src/main/java/org/apache/tajo/master/querymaster/QueryUnitAttempt.java,1,347,4,1,0,1,2,2,2,0,0,0,116,116,0,177544,511.654179,TRUE
tajo-common/src/main/java/org/apache/tajo/datum/Float4Datum.java,1,308,0,0,0,0,0,0,0,0,0,0,0,0,0,177544,576.441558,TRUE
tajo-core/tajo-core-backend/src/main/java/org/apache/tajo/engine/function/InCountry.java,1,42,0,0,0,0,0,0,0,0,0,0,0,0,0,177544,4227.238095,TRUE
tajo-algebra/src/main/java/org/apache/tajo/algebra/TablePrimarySubQuery.java,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,177544,3287.851852,TRUE
tajo-core/tajo-core-backend/src/main/java/org/apache/tajo/engine/exception/NoSuchColumnException.java,1,25,0,0,0,0,0,0,0,0,0,0,0,0,0,177544,7101.76,TRUE
tajo-core/tajo-core-backend/src/main/java/org/apache/tajo/engine/planner/logical/GroupbyNode.java,1,196,0,0,0,0,0,0,0,0,0,0,0,0,0,177544,905.836735,TRUE
tajo-core/tajo-core-storage/src/main/java/org/apache/tajo/storage/RowFile.java,1,506,17,1,0,1,10,10,10,3,3,3,116,116,3,177544,350.87747,TRUE
tajo-catalog/tajo-catalog-common/src/main/java/org/apache/tajo/catalog/Column.java,1,163,0,0,0,0,0,0,0,0,0,0,0,0,0,177544,1089.226994,TRUE
tajo-core/tajo-core-storage/src/test/java/org/apache/tajo/storage/v2/TestStorages.java,1,241,32,1,0,1,16,16,16,0,0,0,116,116,0,177544,736.697095,TRUE
tajo-core/tajo-core-backend/src/main/java/org/apache/tajo/engine/eval/InEval.java,1,112,0,0,0,0,0,0,0,0,0,0,0,0,0,177544,1585.214286,TRUE
tajo-core/tajo-core-backend/src/main/java/org/apache/tajo/benchmark/TPCH.java,1,176,4,1,0,1,2,2,2,0,0,0,116,116,0,177544,1008.772727,TRUE
tajo-catalog/tajo-catalog-common/src/main/java/org/apache/tajo/catalog/DDLBuilder.java,1,90,2,1,0,1,1,1,1,0,0,0,116,116,0,177544,1972.711111,TRUE
tajo-core/tajo-core-pullserver/src/main/java/org/apache/tajo/pullserver/PullServerAuxService.java,1,660,0,0,0,0,0,0,0,0,0,0,0,0,0,177544,269.006061,TRUE
tajo-core/tajo-core-backend/src/main/java/org/apache/tajo/engine/utils/SchemaUtil.java,1,60,0,0,0,0,0,0,0,0,0,0,0,0,0,177544,2959.066667,TRUE
tajo-common/src/main/java/org/apache/tajo/datum/protobuf/TextUtils.java,1,459,0,0,0,0,0,0,0,0,0,0,0,0,0,177544,386.8061,TRUE
