issueKey,type,resolution,status,createdDateEpoch,resolvedDateEpoch
MAHOUT-1002,Task,Fixed,Closed,2012-04-27 22:12:19,2012-06-22 16:55:23
MAHOUT-1003,Bug,Fixed,Closed,2012-04-28 01:39:41,2012-06-22 17:38:40
MAHOUT-1004,New Feature,Won't Fix,Closed,2012-05-01 18:23:18,2014-03-03 04:05:51
MAHOUT-1005,Bug,Fixed,Closed,2012-05-02 07:38:38,2012-05-06 07:47:41
MAHOUT-1006,Bug,Fixed,Closed,2012-05-04 02:10:19,2012-06-05 00:39:58
MAHOUT-1007,Improvement,Not A Problem,Closed,2012-05-05 03:47:25,2012-05-15 00:35:53
MAHOUT-1008,Task,Fixed,Closed,2012-05-08 14:38:05,2012-05-11 05:24:42
MAHOUT-1009,Improvement,Fixed,Closed,2012-05-09 01:40:22,2012-06-04 02:43:26
MAHOUT-1010,Task,Fixed,Closed,2012-05-09 02:30:38,2012-05-11 17:15:30
MAHOUT-1011,Bug,Fixed,Closed,2012-05-11 03:03:02,2012-05-11 03:44:02
MAHOUT-1012,Task,Fixed,Closed,2012-05-11 15:22:55,2012-05-13 05:50:11
MAHOUT-1013,Improvement,Fixed,Closed,2012-05-11 17:22:55,2012-05-11 19:13:39
MAHOUT-1014,Sub-task,Fixed,Closed,2012-05-14 02:31:15,2012-06-04 22:09:45
MAHOUT-1015,Bug,Fixed,Closed,2012-05-16 17:58:15,2012-05-16 18:36:46
MAHOUT-1016,Bug,Fixed,Closed,2012-05-18 08:02:25,2012-06-13 21:57:57
MAHOUT-1017,Bug,Fixed,Closed,2012-05-18 08:06:03,2012-06-12 23:32:21
MAHOUT-1018,Bug,Won't Fix,Closed,2012-05-19 02:53:45,2013-03-11 23:19:14
MAHOUT-1019,Improvement,Fixed,Closed,2012-05-22 04:18:43,2013-03-11 19:15:20
MAHOUT-1020,Bug,Fixed,Closed,2012-05-24 07:15:31,2012-06-04 01:04:28
MAHOUT-1021,Improvement,Won't Fix,Closed,2012-05-30 12:57:39,2014-01-29 07:25:05
MAHOUT-1022,New Feature,Won't Fix,Closed,2012-05-31 11:32:23,2014-03-03 04:06:28
MAHOUT-1023,Bug,Fixed,Closed,2012-06-04 01:32:09,2012-06-04 01:55:38
MAHOUT-1024,Bug,Fixed,Closed,2012-06-04 04:35:16,2012-06-05 12:31:42
MAHOUT-1025,Task,Fixed,Closed,2012-06-04 22:01:55,2013-06-02 01:27:21
MAHOUT-1026,Task,Fixed,Closed,2012-06-05 12:33:03,2013-06-09 00:27:50
MAHOUT-1027,Improvement,Fixed,Closed,2012-06-05 19:42:25,2012-06-05 20:15:08
MAHOUT-1028,Bug,Fixed,Closed,2012-06-06 03:15:32,2012-06-09 08:47:01
MAHOUT-1029,Bug,Fixed,Closed,2012-06-06 17:16:47,2012-06-22 19:40:30
MAHOUT-1030,Bug,Fixed,Closed,2012-06-10 00:08:56,2013-12-08 12:08:46
MAHOUT-1031,Bug,Fixed,Closed,2012-06-10 07:21:47,2013-03-11 23:28:04
MAHOUT-1032,Bug,Not A Problem,Closed,2012-06-15 16:54:42,2012-06-15 18:53:09
MAHOUT-1033,Bug,Fixed,Closed,2012-06-19 21:56:40,2012-06-22 18:47:27
MAHOUT-1034,Bug,Not A Problem,Closed,2012-06-29 07:52:06,2012-07-12 08:34:19
MAHOUT-1035,Improvement,Fixed,Closed,2012-06-29 10:45:41,2012-06-30 05:51:56
MAHOUT-1036,Question,Invalid,Closed,2012-07-03 10:56:06,2012-07-03 18:17:38
MAHOUT-1037,Question,Duplicate,Closed,2012-07-03 10:57:57,2012-07-03 18:18:14
MAHOUT-1038,Bug,Fixed,Closed,2012-07-04 10:58:15,2012-07-04 15:49:37
MAHOUT-1039,Bug,Fixed,Closed,2012-07-04 12:55:33,2012-07-04 15:52:58
MAHOUT-1040,Improvement,Not A Problem,Closed,2012-07-05 08:40:21,2012-07-05 16:00:03
MAHOUT-1041,Improvement,Won't Fix,Closed,2012-07-06 04:45:49,2013-06-02 01:31:07
MAHOUT-1042,Improvement,Fixed,Closed,2012-07-10 05:31:06,2012-07-10 23:20:04
MAHOUT-1043,Improvement,Fixed,Closed,2012-07-10 08:28:02,2012-07-10 22:49:45
