File,Release Number,LOC,LOC touched,Number of Revisions,Fix Count,Authors,LOC added,Max LOC added,Average LOC added,Churn,Max Churn,Average Churn,Change Set Size,Max Change Set Size,Average Change Set Size,Release Length,Weighted Release Length,Actual
flume-ng-sdk/src/main/java/org/apache/flume/api/NettyAvroRpcClient.java,1.4.0,723,266,5,5,3,224,114,44.8,182,101,36.4,25,9,5.0,66.86,7.68,True
flume-ng-core/src/main/java/org/apache/flume/channel/MemoryChannel.java,1.3.0,355,193,8,8,4,159,95,19.88,131,70,16.38,86,19,10.75,64.29,10.21,True
flume-ng-sinks/flume-ng-hbase-sink/src/main/java/org/apache/flume/sink/hbase/HBaseSinkConfigurationConstants.java,1.3.1,51,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,26.43,0.0,True
flume-ng-channels/flume-jdbc-channel/src/main/java/org/apache/flume/channel/jdbc/DatabaseType.java,1.3.1,67,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,64.0,0.0,True
flume-ng-core/src/main/java/org/apache/flume/instrumentation/GangliaServer.java,1.3.0,356,670,7,7,4,513,372,73.29,452,372,64.57,56,18,8.0,19.29,17.8,True
flume-ng-sinks/flume-ng-hbase-sink/src/main/java/org/apache/flume/sink/hbase/HBaseSink.java,1.3.1,238,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,31.43,0.0,True
flume-ng-core/src/test/java/org/apache/flume/serialization/TestResettableFileInputStream.java,1.4.0,312,314,2,2,1,313,232,156.5,312,232,156.0,39,34,19.5,26.71,25.74,True
flume-ng-core/src/main/java/org/apache/flume/instrumentation/MonitoredCounterGroup.java,1.3.0,162,196,6,6,3,179,142,29.83,170,142,28.33,66,18,11.0,20.86,16.91,True
flume-ng-sinks/flume-ng-hbase-sink/src/main/java/org/apache/flume/sink/hbase/AsyncHBaseSink.java,1.3.1,433,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,27.14,0.0,True
flume-ng-core/src/test/java/org/apache/flume/serialization/SyslogAvroEventSerializer.java,1.4.0,260,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,61.86,0.0,True
flume-ng-sinks/flume-ng-elasticsearch-sink/src/test/java/org/apache/flume/sink/elasticsearch/AbstractElasticSearchSinkTest.java,1.3.1,133,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,8.0,0.0,True
flume-ng-sinks/flume-ng-elasticsearch-sink/src/main/java/org/apache/flume/sink/elasticsearch/ElasticSearchSink.java,1.3.1,385,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,8.0,0.0,True
flume-ng-core/src/main/java/org/apache/flume/interceptor/InterceptorBuilderFactory.java,1.3.0,51,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,25.86,0.0,True
flume-ng-channels/flume-jdbc-channel/src/main/java/org/apache/flume/channel/jdbc/TransactionIsolation.java,1.3.1,52,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,62.29,0.0,True
flume-ng-sinks/flume-ng-elasticsearch-sink/src/main/java/org/apache/flume/sink/elasticsearch/ContentBuilderUtil.java,1.3.1,76,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,8.0,0.0,True
flume-ng-sinks/flume-irc-sink/src/main/java/org/apache/flume/sink/irc/IRCSink.java,1.3.1,266,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,48.0,0.0,True
flume-ng-channels/flume-jdbc-channel/src/test/java/org/apache/flume/channel/jdbc/TestDatabaseTypeEnum.java,1.3.1,79,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,62.29,0.0,True
flume-ng-sinks/flume-hdfs-sink/src/test/java/org/apache/flume/sink/hdfs/TestHDFSEventSinkOnMiniCluster.java,1.3.1,261,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,30.86,0.0,True
flume-ng-sinks/flume-hdfs-sink/src/test/java/org/apache/flume/sink/hdfs/TestHDFSEventSink.java,1.3.1,1044,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,62.29,0.0,True
flume-ng-sinks/flume-hdfs-sink/src/test/java/org/apache/flume/sink/hdfs/TestBucketWriter.java,1.3.1,278,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,37.14,0.0,True
flume-ng-core/src/test/java/org/apache/flume/formatter/output/TestBucketPath.java,1.4.0,144,31,2,2,2,30,29,15.0,29,29,14.5,7,5,3.5,57.14,9.51,True
flume-ng-channels/flume-jdbc-channel/src/test/java/org/apache/flume/channel/jdbc/TestTransactionIsolationLevelEnum.java,1.3.1,69,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,62.29,0.0,True
flume-ng-sinks/flume-hdfs-sink/src/test/java/org/apache/flume/sink/hdfs/HDFSBadWriterFactory.java,1.3.1,42,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,62.29,0.0,True
flume-ng-core/src/main/java/org/apache/flume/lifecycle/LifecycleSupervisor.java,1.3.0,361,191,2,2,2,114,74,57.0,37,37,18.5,7,5,3.5,67.86,18.09,True
flume-ng-sinks/flume-hdfs-sink/src/test/java/org/apache/flume/sink/hdfs/HDFSBadSeqWriter.java,1.3.1,70,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,62.29,0.0,True
flume-ng-sinks/flume-ng-hbase-sink/src/main/java/org/apache/flume/sink/hbase/RegexHbaseEventSerializer.java,1.3.1,167,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,26.86,0.0,True
flume-ng-channels/flume-file-channel/src/test/java/org/apache/flume/channel/file/TestUtils.java,1.3.1,290,16,1,1,1,13,13,13.0,10,10,10.0,9,9,9.0,32.86,0.14,True
flume-ng-core/src/main/java/org/apache/flume/formatter/output/BucketPath.java,1.3.0,409,63,2,2,1,48,29,24.0,33,26,16.5,6,5,3.0,60.14,16.5,True
flume-ng-channels/flume-file-channel/src/test/java/org/apache/flume/channel/file/TestFileChannelRestart.java,1.3.1,395,230,3,3,2,224,222,74.67,218,216,72.67,29,11,9.67,14.86,0.14,True
flume-ng-channels/flume-file-channel/src/test/java/org/apache/flume/channel/file/TestCheckpoint.java,1.3.1,65,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,32.86,0.0,True
