issueKey,type,resolution,status,createdDateEpoch,resolvedDateEpoch
TIKA-1002,Bug,Won't Fix,Resolved,2012-10-08 17:56:00,2012-10-08 21:47:06
TIKA-1003,Bug,Won't Fix,Resolved,2012-10-08 19:06:38,2012-10-08 21:48:24
TIKA-1004,Improvement,Won't Fix,Closed,2012-10-08 21:49:35,2015-03-04 05:01:22
TIKA-1005,Bug,Fixed,Resolved,2012-10-11 22:27:15,2012-10-16 19:18:21
TIKA-1006,Bug,Fixed,Resolved,2012-10-12 19:37:08,2012-10-13 01:24:13
TIKA-1007,Improvement,Unresolved,Open,2012-10-15 04:29:20,
TIKA-1008,Bug,Won't Fix,Closed,2012-10-15 20:08:59,2015-03-04 04:27:36
TIKA-1009,Improvement,Fixed,Resolved,2012-10-17 20:17:20,2012-11-07 23:06:57
TIKA-1010,Bug,Fixed,Resolved,2012-10-19 21:36:43,2014-04-17 02:24:12
TIKA-1011,Bug,Fixed,Resolved,2012-10-26 07:18:18,2012-10-27 05:07:26
TIKA-1012,New Feature,Fixed,Resolved,2012-10-30 08:24:32,2013-02-05 00:37:54
TIKA-1013,New Feature,Fixed,Resolved,2012-10-30 08:52:45,2013-01-09 07:00:12
TIKA-1014,New Feature,Fixed,Resolved,2012-10-30 14:01:31,2013-04-29 22:20:28
TIKA-1015,Bug,Fixed,Resolved,2012-10-30 22:23:00,2012-10-31 23:07:36
TIKA-1016,Bug,Fixed,Closed,2012-11-06 02:31:48,2012-11-06 05:37:59
TIKA-1017,Bug,Unresolved,Open,2012-11-06 18:52:33,
TIKA-1018,Bug,Incomplete,Resolved,2012-11-07 02:47:05,2012-11-07 06:07:09
TIKA-1019,Bug,Fixed,Resolved,2012-11-08 00:20:45,2012-11-12 19:29:44
TIKA-1020,Bug,Unresolved,Open,2012-11-08 19:24:04,
TIKA-1021,Bug,Fixed,Resolved,2012-11-09 18:44:14,2013-01-10 23:30:04
TIKA-1022,Bug,Unresolved,Reopened,2012-11-10 02:06:12,
TIKA-1023,Bug,Won't Fix,Closed,2012-11-12 17:34:35,2012-11-12 17:38:55
TIKA-1024,Bug,Fixed,Resolved,2012-11-13 22:41:50,2012-11-18 23:53:46
TIKA-1025,Bug,Fixed,Resolved,2012-11-14 03:05:22,2012-11-19 00:11:42
TIKA-1026,Improvement,Fixed,Resolved,2012-11-19 17:54:49,2012-11-19 18:31:35
TIKA-1027,Improvement,Fixed,Resolved,2012-11-19 22:22:19,2012-11-19 23:25:45
TIKA-1028,Bug,Fixed,Resolved,2012-11-21 20:56:42,2015-01-19 06:46:02
TIKA-1029,Bug,Fixed,Resolved,2012-11-23 16:51:32,2015-03-04 08:02:50
TIKA-1030,Improvement,Won't Fix,Closed,2012-11-23 22:22:49,2013-01-16 00:05:25
TIKA-1031,Bug,Fixed,Resolved,2012-11-26 21:27:49,2012-12-02 01:53:39
TIKA-1032,Bug,Fixed,Resolved,2012-11-27 03:11:51,2012-12-02 01:57:13
TIKA-1033,Bug,Unresolved,Open,2012-11-27 19:56:03,
TIKA-1034,Improvement,Won't Fix,Resolved,2012-11-29 11:31:42,2012-11-29 17:17:01
TIKA-1035,Bug,Fixed,Resolved,2012-11-30 20:42:39,2012-12-02 02:05:37
TIKA-1036,Improvement,Fixed,Resolved,2012-12-01 02:52:45,2012-12-02 02:07:23
TIKA-1037,Bug,Fixed,Resolved,2012-12-02 01:38:50,2015-03-04 08:08:20
TIKA-1038,Bug,Fixed,Resolved,2012-12-05 15:58:10,2015-03-05 05:42:41
TIKA-1039,Bug,Won't Fix,Closed,2012-12-05 20:30:33,2015-03-05 06:16:59
TIKA-1040,Bug,Fixed,Resolved,2012-12-07 03:14:59,2015-03-04 08:35:52
TIKA-1041,Bug,Fixed,Resolved,2012-12-12 06:47:12,2012-12-13 16:47:52
TIKA-1042,Bug,Fixed,Resolved,2012-12-12 07:20:54,2012-12-12 07:31:03
TIKA-1043,Bug,Invalid,Closed,2012-12-13 21:38:22,2012-12-17 09:45:15
TIKA-1044,Bug,Fixed,Resolved,2012-12-13 23:24:52,2012-12-14 11:09:35
TIKA-1045,Bug,Unresolved,Open,2012-12-19 22:47:21,
TIKA-1046,Bug,Fixed,Resolved,2012-12-19 23:15:58,2015-07-24 01:28:51
TIKA-1047,Wish,Fixed,Resolved,2012-12-20 02:55:52,2013-01-28 03:19:41
TIKA-1048,Bug,Fixed,Resolved,2012-12-20 19:03:24,2013-01-07 07:49:05
TIKA-1049,Bug,Fixed,Closed,2012-12-27 09:05:19,2012-12-28 00:57:06
TIKA-1050,Bug,Cannot Reproduce,Closed,2013-01-02 19:54:16,2014-07-21 21:50:37
TIKA-1051,Improvement,Duplicate,Closed,2013-01-05 04:22:02,2013-01-05 04:30:50
