issueKey,type,resolution,status,createdDateEpoch,resolvedDateEpoch
TIKA-3083,Task,Fixed,Resolved,2020-04-03 00:48:38,2020-04-04 05:46:16
TIKA-3084,Task,Fixed,Resolved,2020-04-07 00:52:19,2020-04-13 23:00:29
TIKA-3085,Task,Fixed,Resolved,2020-04-08 18:18:52,2020-04-22 02:55:22
TIKA-3086,Bug,Unresolved,Open,2020-04-08 18:54:43,
TIKA-3087,Task,Fixed,Resolved,2020-04-08 23:11:44,2020-04-22 02:55:44
TIKA-3088,Bug,Fixed,Resolved,2020-04-09 21:12:02,2020-07-22 01:30:43
TIKA-3089,Improvement,Unresolved,Open,2020-04-13 21:25:13,
TIKA-3090,Task,Fixed,Resolved,2020-04-13 21:30:48,2020-04-13 23:01:31
TIKA-3091,Bug,Fixed,Resolved,2020-04-13 23:41:12,2020-04-19 21:45:21
TIKA-3092,Task,Fixed,Resolved,2020-04-15 00:33:46,2020-04-15 05:11:24
TIKA-3093,Task,Fixed,Resolved,2020-04-24 23:25:40,2021-01-27 04:34:10
TIKA-3094,Bug,Fixed,Resolved,2020-04-28 16:45:48,2020-10-01 02:07:55
TIKA-3095,Bug,Fixed,Resolved,2020-04-30 06:17:54,2020-04-30 06:21:17
TIKA-3096,Bug,Invalid,Closed,2020-04-30 22:18:32,2020-05-07 19:37:31
TIKA-3097,Bug,Implemented,Closed,2020-05-07 19:30:48,2020-07-15 22:01:56
TIKA-3098,Bug,Fixed,Closed,2020-05-07 19:36:56,2020-07-15 22:02:20
TIKA-3099,Bug,Unresolved,Open,2020-05-08 21:06:56,
TIKA-3100,Bug,Unresolved,Open,2020-05-11 20:02:43,
TIKA-3101,Task,Fixed,Resolved,2020-05-13 03:47:39,2020-06-02 21:55:22
TIKA-3102,Bug,Won't Fix,Closed,2020-05-13 14:25:35,2020-05-14 16:38:49
TIKA-3103,Bug,Unresolved,Open,2020-05-20 17:25:53,
TIKA-3104,Wish,Unresolved,Reopened,2020-05-28 04:49:26,
TIKA-3105,Bug,Unresolved,Open,2020-06-03 20:18:18,
TIKA-3106,Bug,Unresolved,Open,2020-06-04 02:54:20,
TIKA-3107,Bug,Unresolved,Open,2020-06-04 21:41:46,
TIKA-3108,Task,Unresolved,Open,2020-06-08 22:48:16,
TIKA-3109,Bug,Unresolved,Open,2020-06-10 22:10:24,
TIKA-3110,Bug,Unresolved,Open,2020-06-11 04:56:13,
TIKA-3111,Task,Unresolved,Open,2020-06-11 06:01:46,
TIKA-3112,Bug,Fixed,Resolved,2020-06-12 02:34:57,2020-12-14 17:16:13
TIKA-3113,Bug,Unresolved,Open,2020-06-12 07:28:58,
TIKA-3114,Bug,Unresolved,Open,2020-06-12 07:59:42,
TIKA-3115,Task,Unresolved,Open,2020-06-13 03:48:11,
TIKA-3116,Bug,Fixed,Closed,2020-06-16 12:23:45,2020-06-16 22:17:42
TIKA-3117,Task,Fixed,Resolved,2020-06-17 01:01:34,2020-06-17 02:18:03
