@relation SSHD_train_noise_0.arff

@attribute LOC numeric
@attribute LOC_touched numeric
@attribute Number_of_Revisions numeric
@attribute Fix_Count numeric
@attribute Authors numeric
@attribute LOC_added numeric
@attribute Max_LOC_added numeric
@attribute Average_LOC_added numeric
@attribute Churn numeric
@attribute Max_Churn numeric
@attribute Average_Churn numeric
@attribute Change_Set_Size numeric
@attribute Max_Change_Set_Size numeric
@attribute Average_Change_Set_Size numeric
@attribute Release_Length numeric
@attribute Weighted_Release_Length numeric
@attribute Actual {TRUE,FALSE}

@data
148,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,3860377,26083.628380000002,TRUE
54,4,1,1,1,3,3,3.0,2,2,2.0,2,2,2.0,3860377,71488.46296,TRUE
135,17,1,1,1,15,15,15.0,13,13,13.0,4,4,13.0,3860377,28595.385189999997,TRUE
33,3,1,0,1,2,2,2.0,1,1,1.0,9,9,1.0,3860377,116981.1212,TRUE
556,13,4,3,1,13,6,3.25,13,6,3.25,15,9,3.25,3860377,6943.124101,TRUE
101,18,1,1,1,17,17,17.0,16,16,16.0,2,2,16.0,3860377,38221.55446,TRUE
38,2,1,1,1,1,1,1.0,0,0,0.0,4,4,0.0,3860377,101588.8684,TRUE
116,3,1,1,1,3,3,3.0,3,3,3.0,4,4,3.0,3860377,33279.112069999996,TRUE
74,5,1,0,1,5,5,5.0,5,5,5.0,9,9,5.0,3860377,52167.256760000004,TRUE
122,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,3860377,31642.43443,TRUE
183,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,3860377,21094.956280000002,TRUE
46,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,3860377,83921.23913,TRUE
354,17,1,1,1,11,11,11.0,5,5,5.0,4,4,5.0,3860377,10905.01977,TRUE
57,3,1,0,1,2,2,2.0,1,1,1.0,9,9,1.0,3860377,67725.91227999999,TRUE
104,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,3860377,37119.00961,TRUE
46,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,3860377,83921.23913,TRUE
65,2,1,0,1,1,1,1.0,0,0,0.0,9,9,0.0,3860377,59390.415389999995,TRUE
58,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,3860377,66558.22413999999,TRUE
36,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,3860377,107232.6944,TRUE
342,2,1,1,1,1,1,1.0,0,0,0.0,2,2,0.0,3860377,11287.65205,TRUE
342,14,2,0,1,13,11,6.5,12,11,6.0,10,9,6.0,3860377,11287.65205,TRUE
82,2,1,1,1,1,1,1.0,0,0,0.0,4,4,0.0,3860377,47077.76829,TRUE
277,31,2,1,1,22,21,11.0,13,13,6.5,3,2,6.5,3860377,13936.37906,TRUE
35,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,3860377,110296.4857,TRUE
1004,14,2,2,1,7,6,3.5,0,0,0.0,5,4,0.0,3860377,3844.997012,TRUE
425,3,1,0,1,1,1,1.0,-1,0,-1.0,2,2,-1.0,3860377,9083.24,TRUE
148,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,5854546,39557.743239999996,TRUE
148,23,2,2,1,21,20,10.5,19,20,9.5,4,2,9.5,5854546,39557.743239999996,TRUE
34,4,1,1,1,2,2,2.0,0,0,0.0,12,12,0.0,5854546,172192.5294,TRUE
569,516,8,1,1,219,72,27.375,-78,46,-9.75,66,23,-9.75,5854546,10289.18453,TRUE
117,7,1,0,1,7,7,7.0,7,7,7.0,4,4,7.0,5854546,50038.8547,TRUE
54,50,2,1,1,45,44,22.5,40,39,20.0,27,23,20.0,5854546,108417.5185,TRUE
119,45,2,1,1,21,16,10.5,-3,6,-1.5,4,2,-1.5,5854546,49197.86555,TRUE
79,8,1,1,1,4,4,4.0,0,0,0.0,12,12,0.0,5854546,74108.17722,TRUE
122,4,1,1,1,2,2,2.0,0,0,0.0,12,12,0.0,5854546,47988.08197,TRUE
183,24,3,0,1,18,14,6.0,12,10,4.0,22,19,4.0,5854546,31992.05465,TRUE
46,6,2,1,1,3,2,1.5,0,0,0.0,17,12,0.0,5854546,127272.7391,TRUE
58,6,1,1,1,3,3,3.0,0,0,0.0,12,12,0.0,5854546,100940.4483,TRUE
104,31,3,1,1,13,6,4.3333330000000005,-5,0,-1.666667,21,12,-1.666667,5854546,56293.71154,TRUE
46,9,2,1,1,5,4,2.5,1,1,0.5,17,12,0.5,5854546,127272.7391,TRUE
65,17,2,1,1,6,4,3.0,-5,0,-2.5,17,12,-2.5,5854546,90069.93846,TRUE
58,31,2,0,1,22,12,11.0,13,9,6.5,26,19,6.5,5854546,100940.4483,TRUE
36,8,2,1,1,4,2,2.0,0,0,0.0,16,12,0.0,5854546,162626.2778,TRUE
342,75,4,2,1,45,21,11.25,15,9,3.75,32,23,3.75,5854546,17118.55556,TRUE
354,223,8,1,2,162,52,20.25,101,38,12.625,77,23,12.625,5854546,16538.26554,TRUE
41,5,2,1,1,3,2,1.5,1,1,0.5,16,12,0.5,5854546,142793.8049,TRUE
290,1,1,0,1,1,1,1.0,1,1,1.0,3,3,1.0,5854546,20188.089659999998,TRUE
35,14,2,1,1,11,9,5.5,8,8,4.0,16,12,4.0,5854546,167272.7429,TRUE
1004,57,2,0,1,50,49,25.0,43,43,21.5,22,19,21.5,5854546,5831.221116,TRUE
424,134,5,1,2,83,45,16.6,32,13,6.4,41,19,6.4,5854546,13807.89151,TRUE
148,2,1,0,1,1,1,1.0,0,0,0.0,22,22,0.0,1220416,8246.054054,TRUE
305,4,1,0,1,2,2,2.0,0,0,0.0,10,10,0.0,1220416,4001.3639340000004,TRUE
491,87,7,1,2,69,25,9.857142999999999,51,24,7.285714,71,22,7.285714,1220416,2485.572301,TRUE
124,2,1,1,1,1,1,1.0,0,0,0.0,1,1,0.0,1220416,9842.064516,TRUE
116,57,5,1,1,44,18,11.0,29,16,5.8,24,20,5.8,1220416,10520.82759,TRUE
195,9,2,0,2,5,4,2.5,1,1,0.5,42,22,0.5,1220416,6258.54359,TRUE
71,2,1,0,1,1,1,1.0,0,0,0.0,20,20,0.0,1220416,17188.95775,TRUE
357,146,2,1,1,115,106,57.5,84,77,42.0,18,14,42.0,1220416,3418.5322130000004,TRUE
455,86,6,2,2,72,26,12.0,58,24,9.666667,24,10,9.666667,1220416,2682.2329670000004,TRUE
291,38,2,2,1,23,15,11.5,8,8,4.0,5,4,4.0,1220416,4193.869416,TRUE
1047,40,2,1,2,33,27,16.5,26,21,13.0,21,20,13.0,1220416,1165.631328,TRUE
456,53,6,1,2,41,16,8.2,27,16,4.5,61,22,4.5,1220416,2676.350877,TRUE
148,9,2,0,1,7,4,3.5,5,4,2.5,19,12,2.5,11621582,78524.2027,TRUE
305,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,11621582,38103.54754,TRUE
246,4,1,0,1,4,4,4.0,4,4,4.0,12,12,4.0,11621582,47242.20325,TRUE
542,14,1,0,1,7,7,7.0,0,0,0.0,13,13,0.0,11621582,21442.033209999998,TRUE
227,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,11621582,51196.39648,TRUE
196,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,11621582,59293.785710000004,TRUE
251,65,2,1,1,63,51,31.5,61,50,30.5,3,2,30.5,11621582,46301.123510000005,TRUE
228,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,11621582,50971.85088,TRUE
71,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,11621582,163684.2535,TRUE
441,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,11621582,26352.79365,TRUE
