@relation TOMEE_train_noise_1.arff

@attribute LOC numeric
@attribute LOC_touched numeric
@attribute Number_of_Revisions numeric
@attribute Fix_Count numeric
@attribute Authors numeric
@attribute LOC_added numeric
@attribute Max_LOC_added numeric
@attribute Average_LOC_added numeric
@attribute Churn numeric
@attribute Max_Churn numeric
@attribute Average_Churn numeric
@attribute Change_Set_Size numeric
@attribute Max_Change_Set_Size numeric
@attribute Average_Change_Set_Size numeric
@attribute Release_Length numeric
@attribute Weighted_Release_Length numeric
@attribute Actual {TRUE,FALSE}

@data
486,114,7,2,1,70,27,10.0,26,27,3.714286,46,15,3.714286,763,1.569959,TRUE
108,48,4,2,2,28,14,7.0,8,4,2.0,5,2,2.0,763,7.064814999999999,TRUE
96,4,1,1,1,3,3,3.0,2,2,2.0,15,15,2.0,763,7.9479169999999995,TRUE
454,75,4,2,1,56,33,14.0,37,21,9.25,10,4,9.25,763,1.6806169999999998,TRUE
77,40,2,1,1,17,10,8.5,-6,5,-3.0,13,9,-3.0,763,9.909091,TRUE
87,69,2,1,1,49,36,24.5,29,21,14.5,16,15,14.5,763,8.770114999999999,TRUE
107,2,1,1,1,1,1,1.0,0,0,0.0,3,3,0.0,763,7.130841,TRUE
109,12,2,1,1,6,3,3.0,0,0,0.0,17,11,0.0,763,7.0,TRUE
5317,134,11,1,1,95,23,10.555556,43,22,3.9090910000000005,36,10,3.9090910000000005,763,0.143502,TRUE
621,73,1,1,1,41,41,41.0,9,9,9.0,6,6,9.0,763,1.2286629999999998,TRUE
273,101,4,1,1,72,62,24.0,40,39,10.0,26,15,10.0,763,2.7948720000000002,TRUE
47,37,2,1,2,32,30,16.0,27,26,13.5,12,7,13.5,763,16.234043,TRUE
57,13,1,1,1,12,12,12.0,11,11,11.0,15,15,11.0,763,13.385964999999999,TRUE
338,6,1,1,1,3,3,3.0,0,0,0.0,1,1,0.0,763,2.257396,TRUE
186,7,1,1,1,6,6,6.0,5,5,5.0,1,1,5.0,763,4.102151,TRUE
83,2,1,1,1,1,1,1.0,0,0,0.0,15,15,0.0,763,9.192771,TRUE
462,96,3,1,1,34,30,11.333333,-28,28,-9.333333,21,11,-9.333333,763,1.651515,TRUE
278,66,2,2,1,45,23,22.5,24,22,12.0,6,5,12.0,763,2.7446040000000003,TRUE
1511,76,7,1,2,61,20,8.714286,46,16,6.571428999999999,20,7,6.571428999999999,763,0.5049640000000001,TRUE
714,45,1,1,1,42,42,42.0,39,39,39.0,15,15,39.0,763,1.068627,TRUE
415,162,6,1,1,123,41,20.5,84,41,14.0,18,10,14.0,763,1.838554,TRUE
140,12,1,1,1,9,9,9.0,6,6,6.0,6,6,6.0,763,5.45,TRUE
79,2,1,1,1,1,1,1.0,0,0,0.0,15,15,0.0,763,9.658228,TRUE
676,16,2,1,1,8,4,4.0,0,0,0.0,17,11,0.0,763,1.128698,TRUE
2189,192,15,3,1,69,26,4.928571,-59,25,-3.933333,68,11,-3.933333,763,0.348561,TRUE
386,43,3,1,1,15,7,5.0,-13,4,-4.3333330000000005,7,5,-4.3333330000000005,763,1.976684,TRUE
122,26,2,2,1,25,22,12.5,24,21,12.0,20,15,12.0,763,6.254098,TRUE
76,2,1,1,1,1,1,1.0,0,0,0.0,15,15,0.0,763,10.039474,TRUE
189,30,3,1,1,15,5,5.0,0,0,0.0,21,11,0.0,763,4.037037000000001,TRUE
264,181,1,1,1,159,159,159.0,137,137,137.0,6,6,137.0,763,2.890152,TRUE
31,6,2,1,1,3,2,1.5,0,1,0.0,17,11,0.0,763,24.612903,TRUE
355,33,3,2,1,31,29,10.333333,29,28,9.666667,10,8,9.666667,763,2.149296,TRUE
1061,12,1,1,1,10,10,10.0,8,8,8.0,5,5,8.0,763,0.719133,TRUE
223,25,2,1,1,15,11,7.5,5,5,2.5,3,2,2.5,763,3.421525,TRUE
