@relation BOOKKEEPER_train_noise_1.arff

@attribute LOC numeric
@attribute LOC_touched numeric
@attribute Number_of_Revisions numeric
@attribute Fix_Count numeric
@attribute Authors numeric
@attribute LOC_added numeric
@attribute Max_LOC_added numeric
@attribute Average_LOC_added numeric
@attribute Churn numeric
@attribute Max_Churn numeric
@attribute Average_Churn numeric
@attribute Change_Set_Size numeric
@attribute Max_Change_Set_Size numeric
@attribute Average_Change_Set_Size numeric
@attribute Release_Length numeric
@attribute Weighted_Release_Length numeric
@attribute Actual {TRUE,FALSE}

@data
41,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,10167,247.97561000000002,TRUE
54,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,10167,188.277778,TRUE
603,155,10,7,3,123,47,13.666667000000002,90,43,9.0,71,25,9.0,10167,16.860697000000002,TRUE
53,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,10167,191.830189,TRUE
35,2,1,1,1,1,1,1.0,0,0,0.0,34,34,0.0,10167,290.48571400000003,TRUE
305,99,2,2,2,76,76,76.0,30,76,15.0,28,17,15.0,10167,33.334426,TRUE
177,17,1,1,1,15,15,15.0,13,13,13.0,34,34,13.0,10167,57.440678000000005,TRUE
169,8,1,1,1,5,5,5.0,2,2,2.0,14,14,2.0,10167,60.159763,TRUE
248,74,5,3,3,69,44,13.8,64,44,12.8,46,25,12.8,10167,40.995968,TRUE
193,42,2,2,2,12,7,6.0,-18,3,-9.0,11,6,-9.0,10167,52.67875600000001,TRUE
74,2,1,1,1,1,1,1.0,0,0,0.0,9,9,0.0,10167,137.39189199999998,TRUE
116,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,10167,87.646552,TRUE
61,22,1,1,1,13,13,13.0,4,4,4.0,11,11,4.0,10167,166.672131,TRUE
56,6,1,1,1,3,3,3.0,0,0,0.0,34,34,0.0,10167,181.553571,TRUE
114,12,1,1,1,6,6,6.0,0,0,0.0,9,9,0.0,10167,89.184211,TRUE
118,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,10167,86.161017,TRUE
1026,1232,20,11,3,485,105,24.25,-262,53,-13.1,162,25,-13.1,10167,9.909357,TRUE
369,16,1,1,1,5,5,5.0,-6,0,-6.0,5,5,-6.0,10167,27.552846000000002,TRUE
728,108,4,3,2,90,72,22.5,72,62,18.0,47,25,18.0,10167,13.965659,TRUE
104,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,10167,97.759615,TRUE
548,250,6,6,3,142,101,28.4,29,68,4.8333330000000005,26,7,4.8333330000000005,10167,18.55292,TRUE
78,3,1,1,1,2,2,2.0,1,1,1.0,15,15,1.0,10167,130.346154,TRUE
137,4,1,1,1,4,4,4.0,4,4,4.0,34,34,4.0,10167,74.211679,TRUE
168,113,3,3,1,93,47,46.5,57,46,19.0,16,7,19.0,10167,60.51785699999999,TRUE
452,202,4,3,1,181,97,45.25,160,92,40.0,64,34,40.0,10167,22.493363000000002,TRUE
87,21,1,1,1,12,12,12.0,3,3,3.0,11,11,3.0,10167,116.86206899999999,TRUE
92,10,2,2,2,5,3,2.5,0,1,0.0,28,17,0.0,10167,110.51087,TRUE
99,6,1,1,1,5,5,5.0,4,4,4.0,5,5,4.0,10167,102.69697,TRUE
159,1,1,0,1,1,1,1.0,1,1,1.0,16,16,1.0,10167,63.94339599999999,TRUE
514,65,4,4,2,29,15,7.25,-7,6,-1.75,14,6,-1.75,10167,19.780155999999998,TRUE
234,64,3,2,2,43,33,14.333332999999998,22,19,7.3333330000000005,37,25,7.3333330000000005,10167,43.448718,TRUE
762,239,9,6,3,191,80,21.222222,143,65,15.888889,79,25,15.888889,10167,13.34252,TRUE
