@relation ZEPPELIN_train_noise_1.arff

@attribute LOC numeric
@attribute LOC_touched numeric
@attribute Number_of_Revisions numeric
@attribute Fix_Count numeric
@attribute Authors numeric
@attribute LOC_added numeric
@attribute Max_LOC_added numeric
@attribute Average_LOC_added numeric
@attribute Churn numeric
@attribute Max_Churn numeric
@attribute Average_Churn numeric
@attribute Change_Set_Size numeric
@attribute Max_Change_Set_Size numeric
@attribute Average_Change_Set_Size numeric
@attribute Release_Length numeric
@attribute Weighted_Release_Length numeric
@attribute Actual {TRUE,FALSE}

@data
282,44,4,1,3,29,18,7.25,14,17,3.5,40,32,3.5,106,0.37588699999999997,TRUE
148,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,106,0.716216,TRUE
1163,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,106,0.091144,TRUE
582,8,1,0,1,8,8,8.0,8,8,8.0,32,32,8.0,106,0.182131,TRUE
663,20,2,0,2,14,14,14.0,6,10,3.0,3,2,3.0,106,0.159879,TRUE
147,55,2,1,1,49,44,24.5,43,43,21.5,6,4,21.5,106,0.7210880000000001,TRUE
79,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,106,1.341772,TRUE
155,2,1,0,1,1,1,1.0,0,0,0.0,32,32,0.0,106,0.683871,TRUE
175,17,3,1,1,14,8,4.6666669999999995,11,6,3.666667,41,32,3.666667,106,0.6057140000000001,TRUE
85,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,106,1.247059,TRUE
374,1,1,0,1,1,1,1.0,1,1,1.0,32,32,1.0,106,0.283422,TRUE
144,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,106,0.736111,TRUE
397,1,1,0,1,1,1,1.0,1,1,1.0,1,1,1.0,106,0.26700300000000005,TRUE
451,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,106,0.235033,TRUE
322,40,2,1,2,33,22,16.5,26,16,13.0,8,6,13.0,106,0.32919299999999996,TRUE
134,12,1,0,1,8,8,8.0,4,4,4.0,32,32,4.0,106,0.791045,TRUE
244,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,106,0.43442600000000003,TRUE
403,90,4,1,3,90,32,22.5,90,32,22.5,45,32,22.5,106,0.263027,TRUE
241,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,106,0.439834,TRUE
312,468,3,0,2,231,194,77.0,-6,14,-2.0,41,32,-2.0,106,0.339744,TRUE
150,172,5,1,2,163,105,32.6,154,101,30.8,27,10,30.8,106,0.706667,TRUE
263,4,1,0,1,2,2,2.0,0,0,0.0,32,32,0.0,106,0.403042,TRUE
119,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,106,0.890756,TRUE
527,71,1,0,1,65,65,65.0,59,59,59.0,32,32,59.0,106,0.201139,TRUE
49,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,106,2.163265,TRUE
341,132,5,1,5,37,27,7.4,-58,5,-11.6,23,7,-11.6,106,0.31085,TRUE
69,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,106,1.536232,TRUE
128,22,2,0,2,20,19,10.0,18,18,9.0,34,32,9.0,106,0.828125,TRUE
247,112,3,2,3,112,54,37.333333,112,54,37.333333,39,32,37.333333,106,0.42915,TRUE
751,285,2,1,2,245,233,122.5,205,201,102.5,34,32,102.5,106,0.141145,TRUE
351,37,4,1,4,36,19,9.0,35,19,8.75,42,32,8.75,106,0.301994,TRUE
412,76,3,2,2,69,59,23.0,62,59,20.666667,9,5,20.666667,106,0.257282,TRUE
122,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,106,0.8688520000000001,TRUE
169,50,3,1,2,23,10,7.6666669999999995,-4,4,-1.333333,11,6,-1.333333,106,0.627219,TRUE
682,496,13,3,7,310,112,28.181818,121,33,9.307692,80,32,9.307692,106,0.155425,TRUE
476,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,106,0.222689,TRUE
282,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,106,0.37588699999999997,TRUE
349,97,5,2,3,74,51,18.5,50,33,10.0,24,10,10.0,106,0.303725,TRUE
112,90,2,0,1,83,80,41.5,76,74,38.0,9,6,38.0,106,0.9464290000000001,TRUE
39,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,106,2.717949,TRUE
795,174,6,1,2,111,46,18.5,48,24,8.0,25,6,8.0,106,0.13333299999999998,TRUE
259,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,106,0.40926599999999996,TRUE
294,44,5,3,4,24,11,4.8,4,11,0.8,41,16,0.8,10421,35.445578000000005,TRUE
148,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,10421,70.412162,TRUE
1163,14,1,1,1,11,11,11.0,8,8,8.0,46,46,8.0,10421,8.960447,TRUE
582,112,2,2,1,89,89,89.0,60,72,30.0,9,6,30.0,10421,17.905498,TRUE
671,86,3,3,3,47,20,15.666667000000002,8,18,2.666667,49,46,2.666667,10421,15.530551,TRUE
190,41,3,1,3,39,27,13.0,37,27,12.333333,52,46,12.333333,10421,54.847368,TRUE
79,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,10421,131.911392,TRUE
155,5,1,1,1,5,5,5.0,5,5,5.0,46,46,5.0,10421,67.232258,TRUE
186,5,1,1,1,4,4,4.0,3,3,3.0,46,46,3.0,10421,56.02688199999999,TRUE
85,3,1,0,1,0,0,0.0,-6,0,-6.0,24,24,-6.0,10421,122.6,TRUE
47,17,1,0,1,17,17,17.0,17,17,17.0,9,9,17.0,10421,221.72340400000002,TRUE
374,130,6,4,4,58,24,9.666667,-14,17,-2.333333,32,11,-2.333333,10421,27.863636,TRUE
144,7,2,1,2,2,2,2.0,-6,0,-3.0,70,46,-3.0,10421,72.36805600000001,TRUE
398,38,3,3,3,30,17,10.0,22,16,7.3333330000000005,62,46,7.3333330000000005,10421,26.183417000000002,TRUE
140,14,2,2,2,11,11,11.0,7,9,3.5,51,46,3.5,10421,74.435714,TRUE
451,3,1,1,1,2,2,2.0,1,1,1.0,46,46,1.0,10421,23.10643,TRUE
134,9,3,3,3,6,4,2.0,3,2,1.0,57,46,1.0,10421,77.76865699999999,TRUE
244,7,1,1,1,6,6,6.0,5,5,5.0,46,46,5.0,10421,42.709016,TRUE
461,144,7,3,4,97,57,16.166667,47,28,6.714286,110,46,6.714286,10421,22.605206,TRUE
241,14,3,1,2,10,7,3.333333,6,5,2.0,13,10,2.0,10421,43.240664,TRUE
315,249,8,3,4,102,69,12.75,-45,21,-5.625,61,46,-5.625,10421,33.08254,TRUE
304,463,10,3,4,445,122,44.5,427,122,42.7,45,16,42.7,10421,34.279605,TRUE
263,46,3,3,3,40,25,13.333332999999998,34,23,11.333333,57,46,11.333333,10421,39.623574,TRUE
119,9,1,1,1,7,7,7.0,5,5,5.0,46,46,5.0,10421,87.57142900000001,TRUE
527,50,5,3,3,45,17,9.0,40,16,8.0,73,46,8.0,10421,19.774194,TRUE
49,5,1,1,1,5,5,5.0,5,5,5.0,46,46,5.0,10421,212.67346899999998,TRUE
283,137,8,5,6,72,41,9.0,7,10,0.875,96,46,0.875,10421,36.823322,TRUE
69,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,10421,151.028986,TRUE
196,26,1,0,1,11,11,11.0,-4,0,-4.0,10,10,-4.0,10421,53.168367,TRUE
146,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,10421,71.376712,TRUE
305,233,9,5,8,179,49,19.888889000000002,125,49,13.888889,85,46,13.888889,10421,34.167213000000004,TRUE
755,25,2,1,2,11,11,11.0,-6,0,-3.0,27,24,-3.0,10421,13.802648999999999,TRUE
303,119,4,1,3,85,45,21.25,51,38,12.75,36,16,12.75,10421,34.392739,TRUE
385,140,8,4,6,100,30,12.5,60,21,7.5,40,16,7.5,10421,27.067532,TRUE
88,8,1,1,1,5,5,5.0,2,2,2.0,46,46,2.0,10421,118.420455,TRUE
474,111,3,2,3,96,90,48.0,68,89,22.666667,8,5,22.666667,10421,21.985232,TRUE
122,25,2,2,2,21,17,10.5,17,17,8.5,49,46,8.5,10421,85.418033,TRUE
776,180,11,7,6,142,62,12.909091,104,55,9.454545,96,46,9.454545,10421,13.429124,TRUE
49,141,4,3,3,130,101,32.5,119,100,29.75,58,46,29.75,10421,212.67346899999998,TRUE
476,6,1,0,1,0,0,0.0,-12,0,-12.0,24,24,-12.0,10421,21.892857,TRUE
249,35,5,2,4,15,5,3.0,-5,4,-1.0,85,46,-1.0,10421,41.851406,TRUE
282,7,2,2,2,5,4,2.5,3,3,1.5,57,46,1.5,10421,36.953901,TRUE
400,28,3,2,3,19,8,6.3333330000000005,10,4,3.333333,56,46,3.333333,10421,26.0525,TRUE
188,490,8,2,5,433,195,54.125,376,194,47.0,88,46,47.0,10421,55.430851000000004,TRUE
39,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,10421,267.205128,TRUE
843,73,6,6,5,64,50,10.666667,55,49,9.166667,58,46,9.166667,10421,12.361803,TRUE
341,1,1,1,1,1,1,1.0,1,1,1.0,46,46,1.0,10421,30.560116999999998,TRUE
259,17,3,2,3,7,4,3.5,-4,0,-1.333333,65,46,-1.333333,10421,40.235521000000006,TRUE
298,186,14,5,7,174,52,12.428571,162,51,11.571429,293,56,11.571429,11140,37.38255,TRUE
148,6,1,0,1,4,4,4.0,2,2,2.0,56,56,2.0,11140,75.27027,TRUE
160,48,6,0,4,32,12,5.3333330000000005,16,7,2.666667,183,51,2.666667,11140,69.625,TRUE
189,122,8,1,6,98,32,14.0,64,32,8.0,220,51,8.0,11140,58.941798999999996,TRUE
82,32,1,1,1,30,30,30.0,28,28,28.0,4,4,28.0,11140,135.85365900000002,TRUE
