issueKey,type,resolution,status,createdDateEpoch,resolvedDateEpoch
PDFBOX-3004,Bug,Not A Problem,Closed,2015-10-03 00:37:23,2015-10-03 03:59:52
PDFBOX-3005,Bug,Fixed,Closed,2015-10-05 20:45:18,2015-10-08 00:42:56
PDFBOX-3006,Bug,Fixed,Closed,2015-10-06 05:15:44,2015-10-06 05:26:04
PDFBOX-3007,Improvement,Fixed,Closed,2015-10-07 00:43:36,2016-01-04 01:31:33
PDFBOX-3008,Bug,Fixed,Closed,2015-10-07 02:06:48,2015-10-08 00:07:58
PDFBOX-3009,Task,Unresolved,Open,2015-10-08 00:11:09,
PDFBOX-3010,Bug,Fixed,Closed,2015-10-08 03:31:55,2015-10-08 23:23:46
PDFBOX-3011,Task,Fixed,Closed,2015-10-08 17:10:00,2015-10-10 02:33:51
PDFBOX-3012,Bug,Fixed,Closed,2015-10-09 06:26:06,2015-10-10 00:51:35
PDFBOX-3013,Bug,Fixed,Closed,2015-10-09 21:40:04,2015-10-12 20:46:35
PDFBOX-3014,Bug,Fixed,Closed,2015-10-09 23:44:32,2015-10-15 05:16:02
PDFBOX-3015,Bug,Duplicate,Closed,2015-10-10 01:40:22,2017-09-05 00:05:56
PDFBOX-3016,New Feature,Unresolved,Open,2015-10-10 02:04:55,
PDFBOX-3017,Improvement,Fixed,Closed,2015-10-10 03:07:03,2021-01-15 02:09:17
PDFBOX-3018,Bug,Fixed,Closed,2015-10-11 01:41:50,2015-10-18 18:19:23
PDFBOX-3019,Bug,Fixed,Closed,2015-10-11 10:37:07,2015-10-15 05:04:54
PDFBOX-3020,Task,Fixed,Closed,2015-10-13 00:58:49,2016-01-05 19:52:50
PDFBOX-3021,Bug,Fixed,Closed,2015-10-13 17:13:25,2015-10-16 01:01:18
PDFBOX-3022,Bug,Fixed,Closed,2015-10-14 00:28:45,2015-10-16 01:17:55
PDFBOX-3023,New Feature,Unresolved,Open,2015-10-14 18:02:51,
PDFBOX-3024,Bug,Fixed,Closed,2015-10-14 23:24:00,2016-02-15 15:18:57
PDFBOX-3025,Bug,Fixed,Closed,2015-10-15 05:31:14,2015-10-16 00:23:33
PDFBOX-3026,Bug,Unresolved,Open,2015-10-15 05:57:29,
PDFBOX-3027,Bug,Fixed,Closed,2015-10-15 22:55:35,2015-10-16 01:25:51
PDFBOX-3028,Bug,Unresolved,Open,2015-10-15 23:32:16,
PDFBOX-3029,Bug,Duplicate,Closed,2015-10-16 01:30:08,2016-03-16 01:13:59
PDFBOX-3030,Task,Fixed,Closed,2015-10-16 03:20:20,2016-04-27 21:59:46
PDFBOX-3031,Bug,Not A Problem,Closed,2015-10-16 09:47:57,2015-10-17 02:38:02
PDFBOX-3032,Bug,Unresolved,Open,2015-10-16 09:50:02,
PDFBOX-3033,Bug,Fixed,Closed,2015-10-16 10:42:24,2015-10-17 20:38:13
PDFBOX-3034,Bug,Fixed,Closed,2015-10-17 00:06:34,2015-10-17 01:35:29
PDFBOX-3035,Bug,Fixed,Closed,2015-10-17 19:35:20,2015-10-19 05:08:38
PDFBOX-3036,Bug,Unresolved,Open,2015-10-18 18:59:11,
PDFBOX-3037,Bug,Fixed,Closed,2015-10-21 00:08:28,2015-10-21 00:39:47
PDFBOX-3038,Bug,Fixed,Closed,2015-10-21 00:16:33,2015-10-21 01:23:31
PDFBOX-3039,Bug,Duplicate,Closed,2015-10-21 02:10:00,2015-10-21 02:17:14
PDFBOX-3040,Task,Fixed,Closed,2015-10-21 02:40:28,2015-11-17 17:39:08
PDFBOX-3041,Bug,Fixed,Closed,2015-10-21 23:34:53,2015-10-22 02:39:29
PDFBOX-3042,Bug,Fixed,Closed,2015-10-22 00:46:42,2015-10-22 01:05:34
PDFBOX-3043,Bug,Not A Problem,Closed,2015-10-22 07:29:50,2015-10-22 09:40:30
PDFBOX-3044,Bug,Unresolved,Open,2015-10-22 11:22:12,
PDFBOX-3045,Bug,Duplicate,Closed,2015-10-22 13:45:13,2015-10-22 23:56:47
PDFBOX-3046,Bug,Fixed,Closed,2015-10-22 14:57:22,2015-11-06 02:06:46
PDFBOX-3047,Improvement,Unresolved,Open,2015-10-23 02:38:39,
PDFBOX-3048,Bug,Fixed,Closed,2015-10-23 06:54:58,2015-10-24 00:40:56
PDFBOX-3049,Bug,Invalid,Closed,2015-10-23 15:17:38,2015-10-23 16:02:42
PDFBOX-3050,Bug,Invalid,Closed,2015-10-23 22:50:25,2015-10-28 08:09:10
PDFBOX-3051,Sub-task,Fixed,Closed,2015-10-24 20:20:10,2015-10-24 20:24:21
PDFBOX-3052,Sub-task,Fixed,Closed,2015-10-24 21:28:55,2015-10-24 21:40:44
PDFBOX-3053,Sub-task,Fixed,Closed,2015-10-24 22:33:07,2015-10-25 03:17:36
PDFBOX-3054,Bug,Duplicate,Closed,2015-10-25 02:39:40,2015-10-25 03:26:41
PDFBOX-3055,Improvement,Not A Problem,Closed,2015-10-25 02:45:43,2015-10-25 22:01:06
PDFBOX-3056,Bug,Won't Fix,Closed,2015-10-25 03:30:55,2015-10-28 09:50:14
PDFBOX-3057,Sub-task,Fixed,Closed,2015-10-25 04:13:08,2015-10-25 04:25:26
PDFBOX-3058,Task,Fixed,Closed,2015-10-25 16:54:14,2016-01-24 02:02:59
PDFBOX-3059,Sub-task,Duplicate,Closed,2015-10-25 17:20:46,2015-10-25 18:38:23
PDFBOX-3060,Sub-task,Fixed,Closed,2015-10-25 19:23:14,2015-10-25 20:42:17
PDFBOX-3061,Sub-task,Fixed,Closed,2015-10-26 02:20:04,2015-10-26 06:18:34
PDFBOX-3062,Sub-task,Fixed,Closed,2015-10-27 02:16:49,2015-12-12 04:00:35
PDFBOX-3063,Bug,Cannot Reproduce,Closed,2015-10-27 14:18:28,2015-11-04 05:10:09
