issueKey,type,resolution,status,createdDateEpoch,resolvedDateEpoch
FLUME-1003,Bug,Not A Problem,Resolved,2012-02-28 07:15:40,2012-02-28 08:50:11
FLUME-1004,Bug,Duplicate,Resolved,2012-02-28 07:21:23,2012-03-27 00:43:01
FLUME-1005,Bug,Fixed,Resolved,2012-02-28 07:44:26,2012-02-28 09:20:21
FLUME-1006,Improvement,Unresolved,Patch Available,2012-02-28 18:28:17,
FLUME-1007,Improvement,Unresolved,Open,2012-02-28 21:09:53,
FLUME-1008,Improvement,Duplicate,Resolved,2012-02-29 03:17:58,2018-08-09 17:25:45
FLUME-1009,Bug,Fixed,Resolved,2012-02-29 10:23:38,2012-03-12 11:15:19
FLUME-1010,Bug,Won't Fix,Resolved,2012-03-01 08:58:43,2014-11-05 19:29:31
FLUME-1011,Improvement,Fixed,Resolved,2012-03-01 10:27:14,2012-04-10 08:48:21
FLUME-1012,Brainstorming,Fixed,Resolved,2012-03-01 17:51:19,2013-01-14 16:01:51
FLUME-1013,Bug,Won't Fix,Resolved,2012-03-02 17:07:42,2014-11-05 19:29:45
FLUME-1014,Documentation,Unresolved,Open,2012-03-02 19:22:26,
FLUME-1015,New Feature,Fixed,Resolved,2012-03-03 16:03:59,2012-03-05 15:20:52
FLUME-1016,Bug,Not A Problem,Resolved,2012-03-03 16:53:19,2012-03-23 04:55:57
FLUME-1017,Bug,Fixed,Resolved,2012-03-03 16:58:41,2012-04-06 09:35:58
FLUME-1018,Bug,Fixed,Resolved,2012-03-05 07:03:26,2012-03-12 23:22:02
FLUME-1019,Improvement,Fixed,Resolved,2012-03-05 17:26:20,2012-03-09 23:30:04
FLUME-1020,Improvement,Fixed,Resolved,2012-03-07 04:14:13,2012-03-22 16:39:46
FLUME-1021,Improvement,Fixed,Resolved,2012-03-08 10:12:22,2012-03-09 06:48:26
FLUME-1022,Documentation,Fixed,Resolved,2012-03-08 16:01:22,2014-11-06 18:37:03
FLUME-1023,Bug,Won't Fix,Resolved,2012-03-09 17:50:28,2014-11-05 19:30:08
FLUME-1024,Bug,Won't Fix,Resolved,2012-03-09 18:34:20,2014-11-05 19:30:21
FLUME-1025,Bug,Won't Fix,Resolved,2012-03-09 18:51:03,2014-11-05 19:30:42
FLUME-1026,Bug,Fixed,Resolved,2012-03-09 23:32:35,2012-03-22 14:46:21
FLUME-1027,Bug,Fixed,Resolved,2012-03-13 09:30:37,2012-03-14 08:02:01
FLUME-1028,Task,Fixed,Resolved,2012-03-13 23:28:47,2012-03-14 07:38:45
FLUME-1029,Bug,Duplicate,Closed,2012-03-14 04:56:33,2012-03-14 06:55:08
FLUME-1030,Improvement,Fixed,Resolved,2012-03-15 08:29:41,2012-03-24 00:53:32
FLUME-1031,Bug,Fixed,Resolved,2012-03-16 01:13:15,2012-03-19 15:43:28
FLUME-1032,Improvement,Fixed,Resolved,2012-03-16 04:18:05,2012-03-20 07:16:10
FLUME-1033,Improvement,Unresolved,Open,2012-03-17 01:05:05,
FLUME-1034,Bug,Duplicate,Resolved,2012-03-17 06:12:34,2012-04-09 19:10:43
FLUME-1035,Bug,Fixed,Resolved,2012-03-17 06:12:58,2012-03-20 04:22:00
FLUME-1036,Bug,Fixed,Resolved,2012-03-19 17:20:26,2012-03-24 06:38:00
