issueKey,type,resolution,status,createdDateEpoch,resolvedDateEpoch
FLUME-3018,New Feature,Unresolved,Open,2016-10-26 16:08:37,
FLUME-3019,Bug,Unresolved,Open,2016-10-31 11:18:59,
FLUME-3020,Improvement,Fixed,Resolved,2016-11-01 22:35:20,2016-11-10 07:51:53
FLUME-3021,New Feature,Unresolved,Patch Available,2016-11-07 17:59:59,
FLUME-3022,Bug,Not A Bug,Closed,2016-11-14 17:59:05,2017-01-04 17:04:59
FLUME-3023,Bug,Unresolved,Open,2016-11-15 19:57:31,
FLUME-3024,Bug,Unresolved,Open,2016-11-16 15:16:45,
FLUME-3025,Improvement,Fixed,Resolved,2016-11-16 23:50:14,2016-11-22 05:43:12
FLUME-3026,Improvement,Unresolved,Patch Available,2016-11-18 17:00:15,
FLUME-3027,Bug,Fixed,Resolved,2016-11-19 09:50:04,2016-12-06 15:32:31
FLUME-3028,Improvement,Unresolved,Open,2016-11-20 23:47:05,
FLUME-3029,Sub-task,Unresolved,Open,2016-11-20 23:56:24,
FLUME-3030,Improvement,Unresolved,Open,2016-11-21 00:54:27,
FLUME-3031,Bug,Fixed,Resolved,2016-11-23 01:44:16,2016-12-07 01:32:00
FLUME-3032,Bug,Unresolved,Open,2016-11-25 10:48:28,
FLUME-3033,New Feature,Fixed,Resolved,2016-11-29 13:22:44,2019-09-27 20:22:29
FLUME-3034,Improvement,Unresolved,Open,2016-12-04 04:13:40,
FLUME-3035,Bug,Unresolved,Open,2016-12-17 11:34:04,
FLUME-3036,New Feature,Unresolved,Patch Available,2016-12-26 17:21:57,
FLUME-3037,Question,Not A Problem,Resolved,2016-12-28 16:54:04,2016-12-28 23:43:56
FLUME-3038,Improvement,Unresolved,Open,2017-01-02 12:19:59,
FLUME-3039,Bug,Unresolved,Patch Available,2017-01-04 16:50:54,
FLUME-3040,Bug,Unresolved,Open,2017-01-11 03:14:50,
FLUME-3041,Bug,Unresolved,Open,2017-01-14 17:02:12,
FLUME-3042,Bug,Unresolved,Open,2017-01-17 10:52:21,
FLUME-3043,Bug,Fixed,Resolved,2017-01-18 11:47:29,2017-04-17 05:29:45
FLUME-3044,Improvement,Unresolved,Patch Available,2017-01-18 13:05:27,
FLUME-3045,Improvement,Unresolved,Open,2017-01-18 21:58:41,
FLUME-3046,Bug,Fixed,Resolved,2017-01-20 19:38:32,2017-09-13 03:59:32
FLUME-3047,Bug,Unresolved,Open,2017-01-23 12:16:46,
FLUME-3048,Bug,Unresolved,Open,2017-01-23 19:40:19,
FLUME-3049,Bug,Fixed,Resolved,2017-01-25 21:54:36,2017-02-02 01:46:48
FLUME-3050,Improvement,Fixed,Resolved,2017-02-02 16:27:00,2018-08-28 19:42:46
FLUME-3051,Documentation,Fixed,Resolved,2017-02-02 17:24:12,2018-11-21 18:24:37
FLUME-3052,Bug,Unresolved,Open,2017-02-06 05:53:19,
FLUME-3053,Documentation,Unresolved,Open,2017-02-08 15:56:27,
FLUME-3054,Bug,Unresolved,Patch Available,2017-02-10 18:01:09,
FLUME-3055,Bug,Not A Problem,Closed,2017-02-13 16:36:10,2017-02-13 17:09:57
FLUME-3056,Bug,Fixed,Resolved,2017-02-20 21:26:46,2018-03-09 19:08:55
FLUME-3057,Bug,Fixed,Resolved,2017-02-22 14:53:09,2017-08-24 23:25:45
FLUME-3058,Bug,Unresolved,Open,2017-02-23 15:34:01,
FLUME-3059,Bug,Unresolved,Open,2017-02-23 19:54:26,
FLUME-3060,Bug,Unresolved,Open,2017-02-24 17:19:39,
FLUME-3061,Bug,Unresolved,Open,2017-02-25 01:21:44,
FLUME-3062,Bug,Unresolved,Open,2017-02-25 01:24:41,
FLUME-3063,Bug,Unresolved,Open,2017-03-01 01:03:35,
FLUME-3064,Bug,Unresolved,Open,2017-03-02 02:36:53,
FLUME-3065,Improvement,Unresolved,Patch Available,2017-03-02 20:02:17,
FLUME-3066,Question,Unresolved,Open,2017-03-06 19:20:24,
FLUME-3067,Bug,Unresolved,Open,2017-03-07 16:16:36,
FLUME-3068,Bug,Unresolved,Patch Available,2017-03-08 16:52:39,
FLUME-3069,Bug,Not A Problem,Resolved,2017-03-09 11:26:36,2017-03-10 10:30:46
FLUME-3070,Improvement,Unresolved,Open,2017-03-09 15:07:50,
FLUME-3071,Request,Unresolved,Open,2017-03-10 22:50:46,
FLUME-3072,Improvement,Fixed,Resolved,2017-03-15 00:34:49,2017-06-21 22:11:30
FLUME-3073,Bug,Unresolved,Open,2017-03-15 16:11:33,
FLUME-3074,Bug,Not A Bug,Resolved,2017-03-20 17:04:31,2017-04-08 17:54:05
FLUME-3075,Bug,Unresolved,Open,2017-03-21 07:10:24,
FLUME-3076,Documentation,Unresolved,Open,2017-03-21 22:37:39,
FLUME-3077,Question,Unresolved,Open,2017-03-24 11:47:08,
FLUME-3078,Bug,Unresolved,Open,2017-03-28 21:49:58,
FLUME-3079,Bug,Unresolved,Open,2017-03-29 12:32:26,
FLUME-3080,Bug,Fixed,Resolved,2017-03-31 17:52:51,2017-04-09 18:33:43
FLUME-3081,Improvement,Unresolved,Patch Available,2017-04-06 03:52:00,
FLUME-3082,Question,Unresolved,Open,2017-04-06 10:55:25,
FLUME-3083,Bug,Fixed,Resolved,2017-04-08 12:38:33,2017-04-28 03:10:58
FLUME-3084,Bug,Unresolved,Open,2017-04-12 10:45:29,
FLUME-3085,Bug,Fixed,Resolved,2017-04-14 05:07:19,2017-05-09 05:05:14
FLUME-3086,Bug,Unresolved,Open,2017-04-14 16:00:49,
FLUME-3087,Wish,Fixed,Resolved,2017-04-21 16:55:02,2018-11-14 00:44:26
FLUME-3088,Bug,Unresolved,Open,2017-04-27 23:10:15,
FLUME-3089,Bug,Unresolved,Open,2017-05-06 21:27:34,
FLUME-3090,New Feature,Unresolved,Open,2017-05-09 14:58:27,
FLUME-3091,Bug,Unresolved,Open,2017-05-11 22:02:06,
FLUME-3092,Improvement,Fixed,Resolved,2017-05-16 00:53:55,2017-05-17 03:55:42
FLUME-3093,Task,Fixed,Resolved,2017-05-18 20:57:37,2017-08-08 17:57:39
FLUME-3094,Bug,Unresolved,Open,2017-05-19 16:39:31,
FLUME-3095,New Feature,Unresolved,Open,2017-05-20 21:25:41,
FLUME-3096,New Feature,Unresolved,Patch Available,2017-05-22 17:07:22,
FLUME-3097,Bug,Unresolved,Open,2017-05-24 11:42:51,
FLUME-3098,New Feature,Unresolved,Patch Available,2017-05-25 01:51:01,
FLUME-3099,Bug,Unresolved,Open,2017-05-25 15:04:29,
FLUME-3100,Improvement,Fixed,Resolved,2017-05-25 15:11:50,2017-06-13 18:10:31
FLUME-3101,Bug,Fixed,Resolved,2017-06-01 18:13:55,2018-11-23 05:00:03
FLUME-3102,Bug,Unresolved,In Progress,2017-06-03 04:23:01,
FLUME-3103,Bug,Unresolved,Open,2017-06-03 04:38:06,
FLUME-3104,Improvement,Unresolved,Open,2017-06-08 18:25:32,
FLUME-3105,Bug,Unresolved,Open,2017-06-09 15:05:23,
FLUME-3106,Bug,Resolved,Resolved,2017-06-09 16:59:21,2018-11-13 04:25:33
