issueKey,type,resolution,status,createdDateEpoch,resolvedDateEpoch
FLUME-1,Bug,Fixed,Closed,2010-06-29 10:44:45,2010-08-08 08:49:52
FLUME-2,Bug,Fixed,Closed,2010-06-30 07:29:38,2010-08-21 23:56:57
FLUME-3,Bug,Cannot Reproduce,Closed,2010-06-30 09:33:04,2010-09-05 23:12:54
FLUME-4,Bug,Fixed,Closed,2010-06-30 15:34:00,2010-07-09 13:03:51
FLUME-5,New Feature,Won't Fix,Resolved,2010-06-30 16:36:01,2014-11-05 14:37:39
FLUME-6,Epic,Fixed,Closed,2010-06-30 18:36:11,2011-04-25 21:36:13
FLUME-7,Bug,Fixed,Closed,2010-07-02 10:31:31,2010-07-13 15:30:17
FLUME-8,Bug,Fixed,Closed,2010-07-02 10:51:47,2010-07-09 13:05:41
FLUME-9,Bug,Fixed,Closed,2010-07-02 20:33:00,2010-07-16 09:34:29
FLUME-10,New Feature,Duplicate,Closed,2010-07-02 23:58:21,2010-08-17 08:21:28
FLUME-11,Bug,Fixed,Resolved,2010-07-03 08:06:56,2012-03-07 17:53:25
FLUME-12,Improvement,Fixed,Closed,2010-07-03 08:35:18,2010-07-07 02:39:34
FLUME-13,New Feature,Won't Fix,Resolved,2010-07-03 10:30:58,2014-11-05 14:38:51
FLUME-14,Bug,Fixed,Closed,2010-07-04 11:49:47,2010-07-13 15:30:57
FLUME-15,Improvement,Fixed,Closed,2010-07-06 00:12:11,2010-10-27 10:24:52
FLUME-16,Improvement,Won't Fix,Resolved,2010-07-06 00:20:06,2014-11-05 14:41:07
FLUME-17,Improvement,Fixed,Resolved,2010-07-06 09:01:18,2011-01-02 06:45:44
FLUME-18,New Feature,Invalid,Resolved,2010-07-06 10:39:48,2011-08-19 10:55:49
FLUME-19,New Feature,Won't Fix,Closed,2010-07-06 10:41:01,2014-11-05 14:43:11
FLUME-20,New Feature,Fixed,Resolved,2010-07-07 00:53:03,2010-09-24 03:11:52
FLUME-21,Bug,Won't Fix,Resolved,2010-07-07 03:28:57,2011-08-06 04:15:35
FLUME-22,New Feature,Fixed,Closed,2010-07-07 04:31:01,2010-07-13 10:42:49
FLUME-23,Improvement,Won't Fix,Resolved,2010-07-07 04:42:59,2014-11-05 14:47:15
FLUME-24,Improvement,Fixed,Closed,2010-07-07 07:13:00,2010-07-16 09:35:04
FLUME-25,Bug,Fixed,Closed,2010-07-07 10:19:53,2010-08-05 00:29:59
FLUME-26,New Feature,Fixed,Closed,2010-07-07 10:36:12,2010-07-16 09:35:28
FLUME-27,New Feature,Fixed,Closed,2010-07-07 23:34:10,2011-04-22 01:55:07
FLUME-28,Task,Fixed,Closed,2010-07-08 00:20:41,2010-07-16 09:35:49
FLUME-29,New Feature,Fixed,Closed,2010-07-09 06:58:43,2010-08-10 04:56:49
FLUME-30,Improvement,Fixed,Closed,2010-07-09 07:00:48,2010-08-07 09:54:08
FLUME-31,Improvement,Fixed,Closed,2010-07-09 07:07:39,2011-04-15 08:24:24
FLUME-32,Improvement,Won't Fix,Resolved,2010-07-09 07:13:02,2014-11-05 15:03:39
FLUME-33,New Feature,Won't Fix,Resolved,2010-07-09 07:30:41,2010-07-27 06:21:55
FLUME-34,New Feature,Won't Fix,Resolved,2010-07-09 07:37:04,2014-11-05 15:05:45
FLUME-35,Improvement,Won't Fix,Resolved,2010-07-09 07:38:54,2014-11-05 15:06:20
FLUME-36,Bug,Fixed,Closed,2010-07-09 07:46:55,2010-07-28 02:14:50
FLUME-37,Bug,Fixed,Closed,2010-07-09 07:49:15,2010-08-10 07:16:35
FLUME-38,Bug,Fixed,Closed,2010-07-09 07:51:04,2010-07-16 09:36:14
FLUME-39,New Feature,Won't Fix,Resolved,2010-07-09 08:08:55,2014-11-05 15:07:09
FLUME-40,Improvement,Won't Fix,Resolved,2010-07-09 12:51:03,2014-11-05 15:07:44
FLUME-41,New Feature,Won't Fix,Resolved,2010-07-09 13:59:48,2014-11-05 15:08:29
FLUME-42,Improvement,Fixed,Closed,2010-07-10 08:08:31,2010-08-08 08:47:09
FLUME-43,Bug,Fixed,Closed,2010-07-13 05:58:24,2010-07-16 09:36:34
FLUME-44,Bug,Fixed,Closed,2010-07-14 02:05:35,2010-07-23 06:43:40
FLUME-45,Bug,Fixed,Closed,2010-07-14 02:12:50,2010-08-22 00:39:41
FLUME-46,Bug,Cannot Reproduce,Closed,2010-07-14 05:02:50,2010-07-27 06:30:46
FLUME-47,Bug,Fixed,Closed,2010-07-14 05:23:27,2010-07-29 02:08:16
FLUME-48,Bug,Fixed,Closed,2010-07-14 07:12:58,2011-05-10 01:58:02
FLUME-49,Improvement,Won't Fix,Resolved,2010-07-14 07:21:17,2014-11-05 15:09:11
FLUME-50,New Feature,Won't Fix,Resolved,2010-07-14 08:47:44,2011-07-03 07:50:34
FLUME-51,Improvement,Fixed,Closed,2010-07-14 09:29:37,2010-08-05 03:02:52
FLUME-52,Bug,Not A Problem,Resolved,2010-07-15 01:55:32,2011-08-19 10:57:52
FLUME-53,Bug,Fixed,Closed,2010-07-15 02:29:52,2010-08-06 03:35:05
FLUME-54,Bug,Fixed,Closed,2010-07-15 04:29:11,2010-08-05 02:57:20
FLUME-55,Bug,Fixed,Closed,2010-07-15 05:56:07,2010-07-23 07:06:12
FLUME-56,Improvement,Duplicate,Closed,2010-07-15 07:44:33,2010-08-07 07:32:38
FLUME-57,Improvement,Won't Fix,Resolved,2010-07-16 04:07:16,2014-11-05 15:09:36
FLUME-58,New Feature,Fixed,Resolved,2010-07-16 05:05:45,2010-12-21 16:28:59
FLUME-59,New Feature,Won't Fix,Resolved,2010-07-16 07:58:02,2014-11-05 15:10:00
FLUME-60,Bug,Won't Fix,Resolved,2010-07-16 14:37:20,2014-11-05 15:11:06
FLUME-61,Bug,Fixed,Closed,2010-07-17 01:00:55,2010-08-08 13:12:05
FLUME-62,New Feature,Won't Fix,Resolved,2010-07-17 02:22:55,2014-11-05 15:12:07
FLUME-63,Bug,Fixed,Resolved,2010-07-20 07:27:24,2011-01-06 22:34:26
FLUME-64,New Feature,Duplicate,Closed,2010-07-20 09:43:21,2010-10-28 05:57:07
FLUME-65,New Feature,Won't Fix,Resolved,2010-07-20 14:07:03,2014-11-05 15:12:35
FLUME-66,New Feature,Cannot Reproduce,Resolved,2010-07-20 15:18:48,2011-07-03 07:56:42
FLUME-67,Bug,Fixed,Closed,2010-07-20 21:41:13,2010-07-23 07:13:52
FLUME-68,Bug,Fixed,Closed,2010-07-20 21:47:21,2010-07-23 08:09:01
FLUME-69,Improvement,Fixed,Closed,2010-07-20 22:05:05,2010-07-31 02:34:31
FLUME-70,Bug,Fixed,Closed,2010-07-20 22:34:06,2010-08-07 09:53:28
FLUME-71,Bug,Fixed,Closed,2010-07-21 01:36:47,2010-07-23 06:56:32
FLUME-72,New Feature,Fixed,Closed,2010-07-21 03:58:57,2010-07-29 02:10:15
FLUME-73,New Feature,Duplicate,Resolved,2010-07-21 04:03:27,2011-07-03 07:54:01
