@relation pdfbox_train_noise_0.arff

@attribute LOC numeric
@attribute LOC_touched numeric
@attribute Number_of_Revisions numeric
@attribute Fix_Count numeric
@attribute Authors numeric
@attribute LOC_added numeric
@attribute Max_LOC_added numeric
@attribute Average_LOC_added numeric
@attribute Churn numeric
@attribute Max_Churn numeric
@attribute Average_Churn numeric
@attribute Change_Set_Size numeric
@attribute Max_Change_Set_Size numeric
@attribute Average_Change_Set_Size numeric
@attribute Release_Length numeric
@attribute Weighted_Release_Length numeric
@attribute Actual {TRUE,FALSE}

@data
172,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,209.57,0.0,TRUE
2175,9,1,1,1,1,1,1.0,7,7,7.0,1,1,1.0,187.57,2.86,TRUE
48,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,217.57,0.0,TRUE
85,4,1,1,1,2,2,2.0,0,0,0.0,3,3,3.0,325.14,23.57,TRUE
113,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,425.71,0.0,TRUE
292,30,2,2,1,28,26,14.0,26,26,13.0,4,3,2.0,223.57,4.88,TRUE
259,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,168.71,0.0,TRUE
428,38,1,1,1,38,38,38.0,38,38,38.0,2,2,2.0,195.86,0.86,TRUE
390,93,4,4,1,88,50,22.0,83,50,20.75,4,1,1.0,187.57,23.41,TRUE
305,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,217.57,0.0,TRUE
58,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,218.86,0.0,TRUE
58,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,210.57,0.0,TRUE
57,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,209.29,0.0,TRUE
63,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,209.29,0.0,TRUE
48,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,209.29,0.0,TRUE
2175,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,195.86,0.0,TRUE
338,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,239.71,0.0,TRUE
437,827,4,4,2,458,377,114.5,89,57,22.25,7,3,1.75,238.57,12.75,TRUE
68,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,181.29,0.0,TRUE
1788,212,5,5,1,149,108,29.8,138,106,27.6,7,3,1.4,238.57,11.01,TRUE
256,82,2,2,1,81,80,40.5,80,80,40.0,2,1,1.0,219.43,4.43,TRUE
437,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,246.86,0.0,TRUE
68,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,189.57,0.0,TRUE
291,32,1,1,1,31,31,31.0,30,30,30.0,1,1,1.0,168.43,26.71,TRUE
167,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,168.43,0.0,TRUE
1788,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,246.86,0.0,TRUE
529,4,1,1,1,2,2,2.0,0,0,0.0,1,1,1.0,205.14,0.43,TRUE
291,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,176.71,0.0,TRUE
167,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,176.71,0.0,TRUE
529,2,1,1,1,1,1,1.0,0,0,0.0,1,1,1.0,213.43,5.57,TRUE
63,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,217.57,0.0,TRUE
57,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,217.57,0.0,TRUE
155,2,1,1,1,1,1,1.0,0,0,0.0,1,1,1.0,236.43,13.29,TRUE
292,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,231.86,0.0,TRUE
124,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,334.71,0.0,TRUE
148,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,355.71,0.0,TRUE
304,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,334.71,0.0,TRUE
463,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,334.71,0.0,TRUE
475,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,326.43,0.0,TRUE
124,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,326.43,0.0,TRUE
763,7,2,2,1,3,3,1.5,1,1,0.5,9,5,4.5,466.57,3.86,TRUE
71,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,326.43,0.0,TRUE
304,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,326.43,0.0,TRUE
463,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,326.43,0.0,TRUE
763,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,472.57,0.0,TRUE
764,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,453.86,0.0,TRUE
314,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,466.57,0.0,TRUE
385,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,40.86,0.0,TRUE
764,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,445.57,0.0,TRUE
314,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,453.86,0.0,TRUE
113,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,446.57,0.0,TRUE
259,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,189.71,0.0,TRUE
113,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,452.57,0.0,TRUE
113,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,433.86,0.0,TRUE
259,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,177.0,0.0,TRUE
353,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,168.0,0.0,TRUE
385,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,32.57,0.0,TRUE
314,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,445.57,0.0,TRUE
353,113,2,2,2,111,62,55.5,109,61,54.5,3,2,1.5,159.71,21.25,TRUE
85,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,333.43,0.0,TRUE
254,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,206.29,0.0,TRUE
1917,435,12,12,1,282,87,23.5,215,87,17.92,26,12,2.17,259.57,5.4,TRUE
305,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,209.29,0.0,TRUE
247,13,2,2,1,10,9,5.0,7,7,3.5,3,2,1.5,208.57,7.74,TRUE
302,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,217.57,0.0,TRUE
415,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,220.14,0.0,TRUE
674,1350,4,4,1,694,658,173.5,38,22,9.5,4,1,1.0,240.57,27.28,TRUE
108,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,433.71,0.0,TRUE
605,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,237.43,0.0,TRUE
670,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,472.57,0.0,TRUE
735,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,165.29,0.0,TRUE
501,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,445.57,0.0,TRUE
648,2,1,1,1,1,1,1.0,0,0,0.0,1,1,1.0,445.57,4.0,TRUE
625,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,453.86,0.0,TRUE
1208,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,445.57,0.0,TRUE
513,77,2,2,2,54,31,27.0,31,21,15.5,2,1,1.0,445.57,16.46,TRUE
1001,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,445.57,0.0,TRUE
197,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,445.57,0.0,TRUE
670,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,453.86,0.0,TRUE
415,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,241.14,0.0,TRUE
674,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,261.57,0.0,TRUE
172,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,217.86,0.0,TRUE
670,2,1,1,1,1,1,1.0,0,0,0.0,1,1,1.0,445.57,2.0,TRUE
628,3,1,1,1,3,3,3.0,3,3,3.0,1,1,1.0,466.57,1.43,TRUE
197,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,453.86,0.0,TRUE
625,10,2,2,1,7,5,3.5,4,3,2.0,3,2,1.5,445.57,6.57,TRUE
