@relation mahout_train_noise_0.arff

@attribute LOC numeric
@attribute LOC_touched numeric
@attribute Number_of_Revisions numeric
@attribute Fix_Count numeric
@attribute Authors numeric
@attribute LOC_added numeric
@attribute Max_LOC_added numeric
@attribute Average_LOC_added numeric
@attribute Churn numeric
@attribute Max_Churn numeric
@attribute Average_Churn numeric
@attribute Change_Set_Size numeric
@attribute Max_Change_Set_Size numeric
@attribute Average_Change_Set_Size numeric
@attribute Release_Length numeric
@attribute Weighted_Release_Length numeric
@attribute Actual {TRUE,FALSE}

@data
317,4,1,1,1,2,2,2.0,0,0,0.0,42,42,42.0,53.43,4.0,TRUE
330,906,32,17,3,558,95,17.44,258,67,8.06,536,132,16.75,46.71,18.51,TRUE
137,139,2,2,2,138,137,69.0,137,137,68.5,128,124,64.0,4.14,4.14,TRUE
150,162,14,6,2,84,27,6.0,30,10,2.14,582,184,41.57,46.71,24.62,TRUE
99,99,1,1,1,99,99,99.0,99,99,99.0,5,5,5.0,4.0,4.0,TRUE
372,64,4,1,3,32,28,8.0,0,0,0.0,177,97,44.25,109.14,43.29,TRUE
96,123,11,6,2,72,45,6.55,29,19,2.64,328,132,29.82,46.71,23.43,TRUE
41,33,3,1,1,14,7,4.67,5,5,1.67,187,132,62.33,46.71,23.77,TRUE
104,104,1,1,1,104,104,104.0,104,104,104.0,11,11,11.0,2.0,2.0,TRUE
69,7,2,1,1,4,3,2.0,1,1,0.5,219,160,109.5,83.71,14.82,TRUE
104,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,83.71,0.0,TRUE
318,64,8,6,5,36,14,4.5,8,5,1.0,709,222,88.62,109.14,15.83,TRUE
183,27,5,3,4,13,7,2.6,7,4,1.4,514,222,102.8,83.71,13.45,TRUE
227,56,3,1,2,32,25,10.67,8,8,2.67,339,231,113.0,59.71,8.12,TRUE
231,6,3,2,3,3,1,1.0,0,0,0.0,440,222,146.67,60.0,20.86,TRUE
331,503,12,8,6,289,163,24.08,111,90,9.25,902,222,75.17,109.14,2.89,TRUE
104,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,31.29,0.0,TRUE
150,32,1,0,1,16,16,16.0,0,0,0.0,231,231,231.0,77.0,3.57,TRUE
65,161,4,4,3,113,85,28.25,105,85,26.25,174,115,43.5,4.43,4.38,TRUE
131,275,5,5,4,203,135,40.6,145,135,29.0,268,115,53.6,4.43,4.38,TRUE
191,139,7,6,2,99,83,14.14,61,56,8.71,108,59,15.43,109.14,2.85,TRUE
335,21,3,1,2,13,7,4.33,5,5,1.67,339,231,113.0,77.0,6.49,TRUE
60,62,3,3,3,61,42,20.33,60,42,20.0,137,115,45.67,4.29,4.25,TRUE
215,79,3,1,2,39,22,13.0,3,1,1.0,441,222,147.0,91.29,29.35,TRUE
96,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,77.0,0.0,TRUE
289,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,129.57,0.0,TRUE
41,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,77.0,0.0,TRUE
98,60,4,2,1,22,11,5.5,26,21,6.5,434,182,108.5,47.71,7.66,TRUE
562,24,2,0,1,12,11,6.0,0,0,0.0,299,231,149.5,93.43,5.64,TRUE
422,37,4,1,2,21,13,5.25,7,5,1.75,290,231,72.5,93.43,6.03,TRUE
704,32,2,0,1,16,15,8.0,0,0,0.0,299,231,149.5,159.0,5.12,TRUE
673,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,129.57,0.0,TRUE
95,19,2,2,2,15,10,7.5,11,7,5.5,127,124,63.5,109.14,38.41,TRUE
156,11,2,2,2,8,6,4.0,5,5,2.5,8,5,4.0,109.14,34.22,TRUE
704,77,2,1,1,65,59,32.5,65,59,32.5,141,128,70.5,128.71,14.7,TRUE
417,74,2,1,1,64,57,32.0,60,57,30.0,141,128,70.5,63.29,14.76,TRUE
562,84,2,1,1,68,59,34.0,66,59,33.0,141,128,70.5,63.29,13.76,TRUE
388,127,9,6,5,67,45,7.44,9,5,1.0,695,124,77.22,109.14,18.27,TRUE
300,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,53.43,0.0,TRUE
433,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,25.86,0.0,TRUE
311,417,8,3,2,364,272,45.5,341,272,42.62,575,169,71.88,13.71,11.97,TRUE
83,97,6,4,2,90,65,15.0,83,65,13.83,226,94,37.67,29.0,26.66,TRUE
161,357,4,3,2,259,214,64.75,267,214,66.75,229,182,57.25,9.0,8.62,TRUE
216,254,8,1,2,129,71,16.12,30,9,3.75,453,184,56.62,34.14,22.03,TRUE
60,68,4,2,2,64,60,16.0,60,60,15.0,663,268,165.75,34.57,33.31,TRUE
