@relation shiro_train_noise_0.arff

@attribute LOC numeric
@attribute LOC_touched numeric
@attribute Number_of_Revisions numeric
@attribute Fix_Count numeric
@attribute Authors numeric
@attribute LOC_added numeric
@attribute Max_LOC_added numeric
@attribute Average_LOC_added numeric
@attribute Churn numeric
@attribute Max_Churn numeric
@attribute Average_Churn numeric
@attribute Change_Set_Size numeric
@attribute Max_Change_Set_Size numeric
@attribute Average_Change_Set_Size numeric
@attribute Release_Length numeric
@attribute Weighted_Release_Length numeric
@attribute Actual {TRUE,FALSE}

@data
193,389,2,2,2,194,194,97.0,1,1,0.5,474,341,237.0,23.14,22.28,TRUE
340,92,2,2,1,81,80,40.5,70,70,35.0,28,26,14.0,122.43,2.02,TRUE
149,2,1,1,1,0,0,0.0,2,2,2.0,341,341,341.0,71.14,21.71,TRUE
91,91,1,1,1,91,91,91.0,91,91,91.0,2,2,2.0,2.29,2.29,TRUE
303,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,135.14,0.0,TRUE
440,11,2,2,1,8,8,4.0,7,6,3.5,355,341,177.5,71.14,13.27,TRUE
122,244,1,1,1,122,122,122.0,0,0,0.0,133,133,133.0,46.43,22.29,TRUE
511,186,4,4,2,160,119,40.0,136,104,34.0,51,41,12.75,135.14,3.34,TRUE
266,1,1,1,1,0,0,0.0,1,1,1.0,341,341,341.0,23.29,21.71,TRUE
149,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,135.14,0.0,TRUE
91,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,66.14,0.0,TRUE
247,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,62.0,0.0,TRUE
511,2,1,1,1,1,1,1.0,0,0,0.0,1,1,1.0,161.86,19.71,TRUE
149,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,161.86,0.0,TRUE
270,543,2,2,2,271,271,135.5,1,1,0.5,474,341,237.0,58.57,22.28,TRUE
266,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,87.29,0.0,TRUE
91,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,93.0,0.0,TRUE
247,247,1,1,1,247,247,247.0,247,247,247.0,26,26,26.0,35.29,35.29,TRUE
189,381,2,2,2,190,190,95.0,1,1,0.5,474,341,237.0,51.86,22.28,TRUE
377,760,2,2,2,379,379,189.5,2,2,1.0,474,341,237.0,71.14,22.28,TRUE
687,8,2,2,1,5,5,2.5,6,4,3.0,355,341,177.5,71.14,14.75,TRUE
258,517,2,2,2,258,258,129.0,1,1,0.5,474,341,237.0,55.0,22.28,TRUE
266,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,114.0,0.0,TRUE
340,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,149.29,0.0,TRUE
303,7,2,2,2,4,4,2.0,5,3,2.5,343,341,171.5,71.14,7.84,TRUE
303,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,161.86,0.0,TRUE
462,6,2,2,1,3,3,1.5,4,2,2.0,355,341,177.5,27.14,15.52,TRUE
80,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,122.71,0.0,FALSE
36,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,161.86,0.0,FALSE
111,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,122.71,0.0,FALSE
38,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,161.86,0.0,FALSE
32,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,161.86,0.0,FALSE
32,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,161.86,0.0,FALSE
115,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,127.43,0.0,FALSE
266,266,2,1,2,266,248,133.0,266,248,133.0,3,2,1.5,0.43,0.4,FALSE
199,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,161.86,0.0,FALSE
32,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,161.86,0.0,FALSE
32,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,161.86,0.0,FALSE
75,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,126.57,0.0,FALSE
55,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,126.57,0.0,FALSE
140,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,161.86,0.0,FALSE
48,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,115.14,0.0,FALSE
163,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,145.57,0.0,FALSE
82,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,161.86,0.0,FALSE
91,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,161.86,0.0,FALSE
37,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,161.86,0.0,FALSE
77,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,161.86,0.0,FALSE
36,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,161.86,0.0,FALSE
